,X,Y,Z,azimuth,reflectivity,laser_id,,,,,vertical_angle
103,0.172224,7.04696,0.865516,140,64,7,,,,,7
104,0.174431,7.08662,-0.870391,141,46,8,,,,,-7
105,0.173431,7.04601,1.11632,141,61,9,,,,,9
106,0.177646,7.16642,-0.627173,142,60,10,,,,,-5
107,0.175595,7.03411,1.36772,143,58,11,,,,,11
108,0.179133,7.12597,-0.373574,144,78,12,,,,,-3
109,0.177425,7.00932,1.61875,145,46,13,,,,,13
110,0.181485,7.1206,-0.124331,146,63,14,,,,,-1
111,0.178773,7.01421,1.88006,146,42,15,,,,,15
112,0.153003,5.69111,-1.52548,154,14,0,,,,,-15
113,0.192021,7.09632,0.123912,155,84,1,,,,,1
114,0.180377,6.62326,-1.52967,156,15,2,,,,,-13
115,0.19248,7.06768,0.370539,156,60,3,,,,,3
116,0.194557,7.09843,-1.38031,157,66,4,,,,,-11
117,0.193977,7.03245,0.615494,158,79,5,,,,,5
118,0.196662,7.08492,-1.12257,159,60,6,,,,,-9
119,0.196212,7.02449,0.862835,160,60,7,,,,,7
120,0.197995,7.0443,-0.865272,161,50,8,,,,,-7
121,0.198417,7.01571,1.11162,162,63,9,,,,,9
122,0.201534,7.12592,-0.623686,162,47,10,,,,,-5
123,0.199366,7.00598,1.36238,163,56,11,,,,,11
124,0.203263,7.09934,-0.372213,164,71,12,,,,,-3
125,0.200993,6.97749,1.61155,165,40,13,,,,,13
126,0.205355,7.08595,-0.123738,166,64,14,,,,,-1
127,0.203467,6.97875,1.87074,167,39,15,,,,,15
128,0.172457,5.67702,-1.52186,174,14,0,,,,,-15
129,0.215447,7.05163,0.123144,175,89,1,,,,,1
130,0.203316,6.61675,-1.52832,176,17,2,,,,,-13
131,0.216475,7045,0.369387,176,63,3,,,,,3
132,0.218546,7.07219,-1.37535,177,75,4,,,,,-11
133,0.217905,7.01182,0.613751,178,71,5,,,,,5
134,0.219973,7.03878,-1.11538,179,65,6,,,,,-9
135,0.219795,6994,0.859179,180,66,7,,,,,7
136,0.222082,7.02769,-0.863322,181,51,8,,,,,-7
137,0.221244,7.00119,1.10943,181,64,9,,,,,9
