Point ID,Points_m_XYZ_0,Points_m_XYZ_1,Points_m_XYZ_2,Points_m_XYZ_Magnitude,adjustedtime,azimuth,distance_m,intensity,laser_id,timestamp,vertical_angle
1612,1.85541,5.02931,-0.280939,5.368,628253723,2025,5.368,72,12,628253723,-3
1613,1.83481,4.9708,1.22328,5.438,628253725,2026,5.438,39,13,628253725,13
1614,1.86012,5.03667,-0.0937194,5.37,628253727,2027,5.37,39,14,628253727,-1
1615,1.84052,4.98359,1.4235,5.5,628253730,2027,5.5,40,15,628253730,15
1616,1.87099,5.04441,-1.44162,5.57,628253750,2035,5.57,13,0,628253750,-15
1617,1.86734,5.03187,0.0936845,5.368,628253753,2036,5.368,78,1,628253753,1
1618,1.86809,5.03121,-1.23903,5.508,628253755,2037,5.508,82,2,628253755,-13
1619,1.8536,4.98951,0.278951,5.33,628253757,2038,5.33,55,3,628253757,3
1620,1.86375,5.01683,-1.04029,5.452,628253760,2038,5.452,16,4,628253760,-11
1621,1.8562,4.99383,0.466109,5.348,628253762,2039,5.348,76,5,628253762,5
1622,1.86325,5.01012,-0.846623,5.412,628253764,2040,5.412,48,6,628253764,-9
1623,1.84975,4.97118,0.65127,5.344,628253766,2041,5.344,72,7,628253766,7
1624,1.85755,4.98946,-0.653707,5.364,628253769,2042,5.364,41,8,628253769,-7
1625,1.8507,4.96842,0.83974,5.368,628253771,2043,5.368,49,9,628253771,9
1626,1.87568,5.03548,-0.470118,5.394,628253773,2043,5.394,46,10,628253773,-5
1627,1.85049,4.9652,1.02999,5.398,628253776,2044,5.398,61,11,628253776,11
1628,1.87156,5.01906,-0.28073,5.364,628253778,2045,5.364,72,12,628253778,-3
1629,1.85011,4.95889,1.22193,5.432,628253780,2046,5.432,45,13,628253780,13
1630,1.8721,5.01516,-0.0934402,5.354,628253783,2047,5.354,44,14,628253783,-1
1631,1.8581,4.975,1.42299,5.498,628253785,2048,5.498,45,15,628253785,15
1632,1.88344,5.02946,-1.43903,5.56,628253806,2053,5.56,15,0,628253806,-15
1633,1.87542,5.00538,0.0933006,5.346,628253808,2054,5.346,78,1,628253808,1
1634,1.88389,5.02532,-1.23903,5.508,628253810,2055,5.508,86,2,628253810,-13
1635,1.8684,4.98399,0.278951,5.33,628253813,2055,5.33,58,3,628253813,3
1636,1.8726,4.99256,-1.03647,5.432,628253815,2056,5.432,18,4,628253815,-11
1637,1.86558,4.97119,0.46454,5.33,628253817,2057,5.33,73,5,628253817,5
1638,1.87828,5.00239,-0.84631,5.41,628253819,2058,5.41,52,6,628253819,-9
1639,1.86606,4.9672,0.651514,5.346,628253822,2059,5.346,72,7,628253822,7
1640,1.86972,4.97431,-0.652488,5.354,628253824,2060,5.354,38,8,628253824,-7
1641,1.85935,4.94409,0.836612,5.348,628253826,2061,5.348,45,9,628253826,9
1642,1.88588,5.01464,-0.468724,5.378,628253829,2061,5.378,52,10,628253829,-5
1643,1.86815,4.96488,1.03113,5.404,628253831,2062,5.404,63,11,628253831,11
1644,1.8831,5.00194,-0.280102,5.352,628253833,2063,5.352,76,12,628253833,-3
1645,1.86156,4.94211,1.21923,5.42,628253836,2064,5.42,45,13,628253836,13
1646,1.88079,4.99054,-0.0930911,5.334,628253838,2065,5.334,48,14,628253838,-1
1647,1.86263,4.94235,1.41522,5.468,628253840,2065,5.468,43,15,628253840,15
1648,1.89278,5.00117,-1.43282,5.536,628253861,2073,5.536,22,0,628253861,-15
1649,1.88651,4.98197,0.0929864,5.328,628253863,2074,5.328,75,1,628253863,1
1650,1.89866,5.01142,-1.23723,5.5,628253865,2075,5.5,76,2,628253865,-13
1651,1.88366,4.97184,0.278637,5.324,628253868,2075,5.324,57,3,628253868,3
1652,1.88793,4.98049,-1.03533,5.426,628253870,2076,5.426,24,4,628253870,-11
1653,1.87727,4.94974,0.463146,5.314,628253872,2077,5.314,75,5,628253872,5
1654,1.88802,4.97549,-0.842869,5.388,628253875,2078,5.388,48,6,628253875,-9
1655,1.87916,4.94952,0.650051,5.334,628253877,2079,5.334,72,7,628253877,7
1656,1.88284,4.95662,-0.651026,5.342,628253879,2080,5.342,43,8,628253879,-7
1657,1.87379,4.93018,0.83536,5.34,628253882,2081,5.34,49,9,628253882,9
1658,1.89842,4.99499,-0.467503,5.364,628253884,2081,5.364,56,10,628253884,-5
1659,1.8757,4.93263,1.02579,5.376,628253886,2082,5.376,59,11,628253886,11
1660,1.89983,4.99347,-0.279997,5.35,628253889,2083,5.35,85,12,628253889,-3
1661,1.87602,4.9283,1.21744,5.412,628253891,2084,5.412,39,13,628253891,13
1662,1.89678,4.98021,-0.0930213,5.33,628253893,2085,5.33,48,14,628253893,-1
1663,1.87574,4.92498,1.41212,5.456,628253895,2085,5.456,39,15,628253895,15
1664,1.90884,4.99092,-1.43179,5.532,628253916,2093,5.532,15,0,628253916,-15
1665,1.89745,4.95855,0.0926723,5.31,628253918,2094,5.31,77,1,628253918,1
1666,1.91057,4.99021,-1.23363,5.484,628253921,2095,5.484,75,2,628253921,-13
1667,1.89901,4.95744,0.278218,5.316,628253923,2096,5.316,57,3,628253923,3
1668,1.90812,4.9812,-1.03686,5.434,628253925,2096,5.434,33,4,628253925,-11
1669,1.89382,4.9413,0.462971,5.312,628253928,2097,5.312,77,5,628253928,5
1670,1.89901,4.95227,-0.840053,5.37,628253930,2098,5.37,47,6,628253930,-9
1671,1.88931,4.9244,0.647614,5.314,628253932,2099,5.314,67,7,628253932,7
1672,1.89871,4.94631,-0.650539,5.338,628253935,2100,5.338,38,8,628253935,-7
1673,1.89508,4.93685,0.83755,5.354,628253937,2100,5.354,55,9,628253937,9
1674,1.9137,4.98276,-0.46698,5.358,628253939,2101,5.358,52,10,628253939,-5
1675,1.88868,4.91506,1.0235,5.364,628253942,2102,5.364,61,11,628253942,11
1676,1.91009,4.96816,-0.278951,5.33,628253944,2103,5.33,70,12,628253944,-3
1677,1.89252,4.9199,1.21699,5.41,628253946,2104,5.41,41,13,628253946,13
1678,1.91128,4.96609,-0.0928817,5.322,628253948,2105,5.322,48,14,628253948,-1
1679,1.89309,4.91627,1.4116,5.454,628253951,2106,5.454,37,15,628253951,15
1680,1.92695,4.98603,-1.4323,5.534,628253971,2113,5.534,13,0,628253971,-15
1681,1.91186,4.94443,0.0925327,5.302,628253974,2114,5.302,73,1,628253974,1
1682,1.91813,4.95806,-1.22733,5.456,628253976,2115,5.456,76,2,628253976,-13
1683,1.90751,4.93062,0.277067,5.294,628253978,2115,5.294,60,3,628253978,3
1684,1.92053,4.9617,-1.03418,5.42,628253981,2116,5.42,40,4,628253981,-11
1685,1.90818,4.92723,0.462274,5.304,628253983,2117,5.304,71,5,628253983,5
1686,1.91486,4.94193,-0.839427,5.366,628253985,2118,5.366,42,6,628253985,-9
1687,1.89932,4.89926,0.645176,5.294,628253988,2119,5.294,75,7,628253988,7
1688,1.91022,4.92484,-0.648589,5.322,628253990,2120,5.322,32,8,628253990,-7
1689,1.91102,4.92435,0.836612,5.348,628253992,2121,5.348,39,9,628253992,9
1690,1.9282,4.96862,-0.466283,5.35,628253995,2121,5.35,50,10,628253995,-5
1691,1.90228,4.89929,1.02159,5.354,628253997,2122,5.354,56,11,628253997,11
1692,1.92018,4.94285,-0.277904,5.31,628253999,2123,5.31,78,12,628253999,-3
1693,1.90474,4.90055,1.21384,5.396,628254001,2124,5.396,39,13,628254001,13
1694,1.93005,4.96312,-0.0929515,5.326,628254004,2125,5.326,48,14,628254004,-1
1695,1.90674,4.90063,1.40901,5.444,628254006,2126,5.444,40,15,628254006,15
1696,1.93942,4.96668,-1.42868,5.52,628254027,2133,5.52,13,0,628254027,-15
1697,1.92766,4.934,0.0924629,5.298,628254029,2134,5.298,68,1,628254029,1
1698,1.93471,4.94952,-1.22688,5.454,628254031,2135,5.454,71,2,628254031,-13
1699,1.92326,4.92022,0.276857,5.29,628254034,2135,5.29,58,3,628254034,3
1700,1.92997,4.93485,-1.02999,5.398,628254036,2136,5.398,55,4,628254036,-11
1701,1.92101,4.9094,0.461228,5.292,628254038,2137,5.292,70,5,628254038,5
1702,1.9285,4.92601,-0.837863,5.356,628254041,2138,5.356,37,6,628254041,-9
1703,1.91351,4.88521,0.644201,5.286,628254043,2139,5.286,72,7,628254043,7
1704,1.92016,4.89966,-0.646151,5.302,628254045,2140,5.302,38,8,628254045,-7
1705,1.91436,4.88488,0.83098,5.312,628254048,2140,5.312,36,9,628254048,9
1706,1.94407,4.95814,-0.465935,5.346,628254050,2141,5.346,65,10,628254050,-5
1707,1.91865,4.89079,1.02121,5.352,628254052,2142,5.352,59,11,628254052,11
1708,1.93597,4.9324,-0.277695,5.306,628254054,2143,5.306,70,12,628254054,-3
1709,1.91613,4.87936,1.21024,5.38,628254057,2144,5.38,39,13,628254057,13
1710,1.93713,4.93029,-0.0924629,5.298,628254059,2145,5.298,52,14,628254059,-1
1711,1.92242,4.89035,1.40798,5.44,628254061,2146,5.44,39,15,628254061,15
1712,1.9532,4.95089,-1.42609,5.51,628254082,2153,5.51,13,0,628254082,-15
1713,1.94046,4.91608,0.0922534,5.286,628254084,2154,5.286,73,1,628254084,1
1714,1.94625,4.92824,-1.22328,5.438,628254087,2155,5.438,69,2,628254087,-13
1715,1.93675,4.90418,0.276334,5.28,628254089,2155,5.28,61,3,628254089,3
1716,1.93925,4.908,-1.02579,5.376,628254091,2156,5.376,61,4,628254091,-11
1717,1.93228,4.88785,0.459834,5.276,628254094,2157,5.276,71,5,628254094,5
1718,1.94132,4.90823,-0.835986,5.344,628254096,2158,5.344,40,6,628254096,-9
1719,1.93201,4.88219,0.644689,5.29,628254098,2159,5.29,73,7,628254098,7
1720,1.93944,4.89847,-0.646882,5.308,628254101,2160,5.308,31,8,628254101,-7
1721,1.9234,4.85796,0.827538,5.29,628254103,2160,5.29,42,9,628254103,9
1722,1.95183,4.92725,-0.463669,5.32,628254105,2161,5.32,56,10,628254105,-5
1723,1.93426,4.88041,1.02045,5.348,628254107,2162,5.348,59,11,628254107,11
1724,1.95023,4.91818,-0.277276,5.298,628254110,2163,5.298,70,12,628254110,-3
1725,1.931,4.86721,1.20889,5.374,628254112,2164,5.374,41,13,628254112,13
1726,1.9499,4.91235,-0.0922534,5.286,628254114,2165,5.286,52,14,628254114,-1
1727,1.93235,4.86565,1.4028,5.42,628254117,2166,5.42,43,15,628254117,15
1728,1.95817,4.91567,-1.41781,5.478,628254137,2172,5.478,14,0,628254137,-15
1729,1.95231,4.89848,0.092044,5.274,628254140,2173,5.274,70,1,628254140,1
1730,1.96475,4.92719,-1.22463,5.444,628254142,2174,5.444,80,2,628254142,-13
1731,1.95153,4.89402,0.276125,5.276,628254144,2174,5.276,61,3,628254144,3
1732,1.95406,4.89789,-1.02503,5.372,628254147,2175,5.372,57,4,628254147,-11
1733,1.93961,4.85921,0.457742,5.252,628254149,2176,5.252,71,5,628254149,5
1734,1.95466,4.89443,-0.834734,5.336,628254151,2177,5.336,40,6,628254151,-9
1735,1.94819,4.87576,0.644689,5.29,628254153,2178,5.29,75,7,628254153,7
1736,1.95346,4.88648,-0.646151,5.302,628254156,2179,5.302,32,8,628254156,-7
1737,1.9395,4.85156,0.827538,5.29,628254158,2179,5.29,46,9,628254158,9
1738,1.96372,4.90965,-0.462623,5.308,628254160,2180,5.308,58,10,628254160,-5
1739,1.9446,4.85939,1.01739,5.332,628254163,2181,5.332,59,11,628254163,11
1740,1.96281,4.90242,-0.276753,5.288,628254165,2182,5.288,76,12,628254165,-3
1741,1.94713,4.86078,1.20889,5.374,628254167,2183,5.374,41,13,628254167,13
1742,1.96618,4.90586,-0.0922534,5.286,628254170,2184,5.286,49,14,628254170,-1
1743,1.94187,4.84521,1.39866,5.404,628254172,2184,5.404,39,15,628254172,15
1744,1.9782,4.91598,-1.41988,5.486,628254193,2192,5.486,14,0,628254193,-15
1745,1.96044,4.86937,0.0916251,5.25,628254195,2193,5.25,70,1,628254195,1
1746,1.97466,4.90222,-1.22013,5.424,628254197,2194,5.424,75,2,628254197,-13
1747,1.96935,4.88903,0.276229,5.278,628254200,2194,5.278,64,3,628254200,3
1748,1.96894,4.88558,-1.02388,5.366,628254202,2195,5.366,55,4,628254202,-11
1749,1.95656,4.85241,0.457742,5.252,628254204,2196,5.252,70,5,628254204,5
1750,1.96212,4.86376,-0.830667,5.31,628254206,2197,5.31,42,6,628254206,-9
1751,1.95554,4.845,0.64152,5.264,628254209,2198,5.264,72,7,628254209,7
1752,1.96605,4.86859,-0.644689,5.29,628254211,2199,5.29,37,8,628254211,-7
1753,1.95347,4.83743,0.826287,5.282,628254213,2199,5.282,43,9,628254213,9
1754,1.97711,4.89353,-0.461751,5.298,628254216,2200,5.298,61,10,628254216,-5
1755,1.95125,4.82709,1.01205,5.304,628254218,2201,5.304,59,11,628254218,11
1756,1.97542,4.88443,-0.276125,5.276,628254220,2202,5.276,72,12,628254220,-3
1757,1.9597,4.84311,1.20619,5.362,628254223,2203,5.362,39,13,628254223,13
1758,1.97879,4.88784,-0.092044,5.274,628254225,2204,5.274,49,14,628254225,-1
1759,1.95962,4.83806,1.39866,5.404,628254227,2205,5.404,39,15,628254227,15
1760,1.9939,4.90546,-1.41885,5.482,628254248,2212,5.482,17,0,628254248,-15
1761,1.97592,4.8588,0.0915553,5.246,628254250,2213,5.246,77,1,628254250,1
1762,1.98368,4.87544,-1.21519,5.402,628254253,2214,5.402,58,2,628254253,-13
1763,1.97586,4.85623,0.274764,5.25,628254255,2214,5.25,58,3,628254255,3
1764,1.98154,4.86777,-1.02159,5.354,628254257,2215,5.354,49,4,628254257,-11
1765,1.97048,4.83817,0.457045,5.244,628254259,2216,5.244,71,5,628254259,5
1766,1.97835,4.85505,-0.830354,5.308,628254262,2217,5.308,45,6,628254262,-9
1767,1.9657,4.8216,0.639327,5.246,628254264,2218,5.246,72,7,628254264,7
1768,1.98153,4.85802,-0.644201,5.286,628254266,2219,5.286,38,8,628254266,-7
1769,1.96885,4.82692,0.825661,5.278,628254269,2219,5.278,43,9,628254269,9
1770,1.99192,4.88106,-0.461228,5.292,628254271,2220,5.292,65,10,628254271,-5
1771,1.96586,4.8148,1.01091,5.298,628254273,2221,5.298,57,11,628254273,11
1772,1.98491,4.85901,-0.275078,5.256,628254276,2222,5.256,76,12,628254276,-3
1773,1.97217,4.82542,1.20349,5.35,628254278,2223,5.35,44,13,628254278,13
1774,1.99886,4.88831,-0.0921836,5.282,628254280,2224,5.282,60,14,628254280,-1
1775,1.97419,4.82796,1.39762,5.4,628254283,2224,5.4,40,15,628254283,15
1776,2.00514,4.88418,-1.4147,5.466,628254303,2232,5.466,19,0,628254303,-15
1777,1.98983,4.84447,0.0914157,5.238,628254306,2233,5.238,68,1,628254306,1
1778,1.9992,4.86488,-1.21429,5.398,628254308,2234,5.398,60,2,628254308,-13
1779,1.98749,4.83637,0.274031,5.236,628254310,2234,5.236,61,3,628254310,3
1780,1.99479,4.85174,-1.01968,5.344,628254312,2235,5.344,57,4,628254312,-11
1781,1.98432,4.82389,0.456347,5.236,628254315,2236,5.236,71,5,628254315,5
1782,1.99378,4.84446,-0.829728,5.304,628254317,2237,5.304,43,6,628254317,-9
1783,1.97873,4.80553,0.638108,5.236,628254319,2238,5.236,66,7,628254319,7
1784,1.99243,4.83639,-0.642251,5.27,628254322,2239,5.27,37,8,628254322,-7
1785,1.98276,4.81054,0.824097,5.268,628254324,2240,5.268,45,9,628254324,9
1786,2.0044,4.86303,-0.460182,5.28,628254326,2240,5.28,65,10,628254326,-5
1787,1.98041,4.80246,1.00976,5.292,628254329,2241,5.292,52,11,628254329,11
1788,2.00033,4.84836,-0.274868,5.252,628254331,2242,5.252,82,12,628254331,-3
1789,1.98156,4.80049,1.19899,5.33,628254333,2243,5.33,45,13,628254333,13
1790,2.00294,4.84988,-0.0915902,5.248,628254336,2244,5.248,52,14,628254336,-1
1791,1.98892,4.81355,1.39555,5.392,628254338,2245,5.392,42,15,628254338,15
1792,2.01552,4.86109,-1.41005,5.448,628254359,2252,5.448,40,0,628254359,-15
1793,2.00519,4.8338,0.0913459,5.234,628254361,2253,5.234,77,1,628254361,1
1794,2.01841,4.86328,-1.21564,5.404,628254363,2254,5.404,22,2,628254363,-13
1795,1.99976,4.81834,0.273403,5.224,628254365,2254,5.224,57,3,628254365,3
1796,2.00645,4.83206,-1.01701,5.33,628254368,2255,5.33,41,4,628254368,-11
1797,1.99886,4.81141,0.455825,5.23,628254370,2256,5.23,75,5,628254370,5
1798,2.01067,4.83747,-0.829728,5.304,628254372,2257,5.304,43,6,628254372,-9
1799,1.99626,4.80043,0.638352,5.238,628254375,2258,5.238,72,7,628254375,7
1800,2.00701,4.8239,-0.64152,5.264,628254377,2259,5.264,50,8,628254377,-7
1801,1.98732,4.77659,0.819404,5.238,628254379,2259,5.238,43,9,628254379,9
1802,2.01753,4.8468,-0.459311,5.27,628254382,2260,5.27,61,10,628254382,-5
1803,2.00018,4.80277,1.01129,5.3,628254384,2261,5.3,42,11,628254384,11
1804,2.01571,4.83766,-0.274659,5.248,628254386,2262,5.248,82,12,628254386,-3
1805,1.99381,4.78275,1.19629,5.318,628254389,2263,5.318,45,13,628254389,13
1806,2.01524,4.83179,-0.0913808,5.236,628254391,2264,5.236,57,14,628254391,-1
1807,1.99446,4.78197,1.38831,5.364,628254393,2264,5.364,43,15,628254393,15
1808,2.02427,4.83442,-1.40435,5.426,628254414,2272,5.426,48,0,628254414,-15
1809,2.01819,4.81755,0.0911714,5.224,628254416,2273,5.224,73,1,628254416,1
1810,2.03387,4.85261,-1.21474,5.4,628254418,2274,5.4,30,2,628254418,-13
1811,2.01734,4.81317,0.273508,5.226,628254421,2274,5.226,58,3,628254421,3
1812,2.02406,4.82683,-1.01739,5.332,628254423,2275,5.332,35,4,628254423,-11
1813,2.00793,4.78603,0.454081,5.21,628254425,2276,5.21,75,5,628254425,5
1814,2.01914,4.81039,-0.826287,5.282,628254428,2277,5.282,45,6,628254428,-9
1815,2.00993,4.78611,0.637377,5.23,628254430,2278,5.23,67,7,628254430,7
1816,2.02307,4.81504,-0.641276,5.262,628254432,2279,5.262,38,8,628254432,-7
1817,2.00558,4.77109,0.819717,5.24,628254435,2280,5.24,45,9,628254435,9
1818,2.02517,4.81769,-0.457219,5.246,628254437,2280,5.246,61,10,628254437,-5
1819,2.01161,4.78309,1.00862,5.286,628254439,2281,5.286,55,11,628254439,11
1820,2.03413,4.83428,-0.274868,5.252,628254441,2282,5.252,80,12,628254441,-3
1821,2.00898,4.77217,1.19539,5.314,628254444,2283,5.314,46,13,628254444,13
1822,2.03054,4.82104,-0.091311,5.232,628254446,2284,5.232,53,14,628254446,-1
1823,2.00972,4.76929,1.38675,5.358,628254448,2285,5.358,45,15,628254448,15
1824,2.04856,4.84726,-1.41005,5.448,628254469,2291,5.448,46,0,628254469,-15
1825,2.0287,4.79794,0.090927,5.21,628254471,2292,5.21,77,1,628254471,1
1826,2.0378,4.81712,-1.20754,5.368,628254474,2293,5.368,45,2,628254474,-13
1827,2.03102,4.79874,0.273089,5.218,628254476,2294,5.218,60,3,628254476,3
1828,2.03546,4.80925,-1.0151,5.32,628254478,2294,5.32,28,4,628254478,-11
1829,2.02379,4.77935,0.454081,5.21,628254481,2295,5.21,73,5,628254481,5
1830,2.03046,4.79275,-0.82441,5.27,628254483,2296,5.27,48,6,628254483,-9
1831,2.02114,4.76845,0.635914,5.218,628254485,2297,5.218,70,7,628254485,7
1832,2.03902,4.8083,-0.641276,5.262,628254488,2298,5.262,38,8,628254488,-7
1833,2.02056,4.76477,0.819717,5.24,628254490,2298,5.24,40,9,628254490,9
1834,2.04269,4.81462,-0.457568,5.25,628254492,2299,5.25,67,10,628254492,-5
1835,2.02132,4.76193,1.00556,5.27,628254494,2300,5.27,59,11,628254494,11
1836,2.04,4.80361,-0.273508,5.226,628254497,2301,5.226,85,12,628254497,-3
1837,2.02251,4.76011,1.19404,5.308,628254499,2302,5.308,49,13,628254499,13
1838,2.04808,4.81796,-0.0913808,5.236,628254501,2303,5.236,49,14,628254501,-1
1839,2.02167,4.75584,1.38468,5.35,628254504,2303,5.35,45,15,628254504,15
1840,2.05409,4.81342,-1.40228,5.418,628254524,2311,5.418,19,0,628254524,-15
1841,2.04465,4.78899,0.0908921,5.208,628254527,2312,5.208,73,1,628254527,1
1842,2.05154,4.80281,-1.20574,5.36,628254529,2313,5.36,60,2,628254529,-13
1843,2.03834,4.76958,0.271833,5.194,628254531,2314,5.194,55,3,628254531,3
1844,2.05301,4.80392,-1.01549,5.322,628254534,2314,5.322,22,4,628254534,-11
1845,2.03655,4.7631,0.45321,5.2,628254536,2315,5.2,78,5,628254536,5
1846,2.04329,4.77656,-0.822845,5.26,628254538,2316,5.26,53,6,628254538,-9
1847,2.03153,4.74677,0.633964,5.202,628254541,2317,5.202,75,7,628254541,7
1848,2.04798,4.78291,-0.638839,5.242,628254543,2318,5.242,37,8,628254543,-7
1849,2.03568,4.75188,0.818778,5.234,628254545,2319,5.234,42,9,628254545,9
1850,2.06105,4.81112,-0.457916,5.254,628254547,2319,5.254,76,10,628254547,-5
1851,2.0302,4.7368,1.00175,5.25,628254550,2320,5.25,56,11,628254550,11
1852,2.05282,4.78728,-0.272984,5.216,628254552,2321,5.216,89,12,628254552,-3
1853,2.03373,4.74048,1.19089,5.294,628254554,2322,5.294,54,13,628254554,13
1854,2.05621,4.79057,-0.0909968,5.214,628254557,2323,5.214,52,14,628254557,-1
1855,2.03528,4.73952,1.38209,5.34,628254559,2324,5.34,43,15,628254559,15
1856,2.07165,4.808,-1.4028,5.42,628254580,2331,5.42,23,0,628254580,-15
1857,2.05661,4.7708,0.0906827,5.196,628254582,2332,5.196,75,1,628254582,1
1858,2.06907,4.79741,-1.20619,5.362,628254584,2333,5.362,71,2,628254584,-13
1859,2.04943,4.7496,0.2711,5.18,628254587,2334,5.18,61,3,628254587,3
1860,2.05888,4.77149,-1.01014,5.294,628254589,2334,5.294,24,4,628254589,-11
1861,2.05237,4.75413,0.453036,5.198,628254591,2335,5.198,73,5,628254591,5
1862,2.05838,4.76577,-0.82222,5.256,628254594,2336,5.256,53,6,628254594,-9
1863,2.0473,4.73782,0.633721,5.2,628254596,2337,5.2,76,7,628254596,7
1864,2.06151,4.76844,-0.637864,5.234,628254598,2338,5.234,37,8,628254598,-7
1865,2.04123,4.72153,0.814711,5.208,628254600,2338,5.208,37,9,628254600,9
1866,2.07309,4.79292,-0.45687,5.242,628254603,2339,5.242,67,10,628254603,-5
1867,2.04516,4.72608,1.00098,5.246,628254605,2340,5.246,50,11,628254605,11
1868,2.06634,4.77276,-0.272566,5.208,628254607,2341,5.208,82,12,628254607,-3
1869,2.0433,4.71726,1.18684,5.276,628254610,2342,5.276,51,13,628254610,13
1870,2.06497,4.76501,-0.0906478,5.194,628254612,2343,5.194,49,14,628254612,-1
1871,2.05406,4.73984,1.38416,5.348,628254614,2343,5.348,43,15,628254614,15
1872,2.08071,4.78302,-1.39762,5.4,628254635,2351,5.4,21,0,628254635,-15
1873,2.07405,4.76543,0.0907176,5.198,628254637,2352,5.198,73,1,628254637,1
1874,2.08347,4.7848,-1.20484,5.356,628254640,2353,5.356,76,2,628254640,-13
1875,2.06361,4.73693,0.270786,5.174,628254642,2354,5.174,58,3,628254642,3
1876,2.0763,4.76607,-1.01052,5.296,628254644,2354,5.296,31,4,628254644,-11
1877,2.06259,4.73232,0.451641,5.182,628254647,2355,5.182,75,5,628254647,5
1878,2.07737,4.76399,-0.823158,5.262,628254649,2356,5.262,48,6,628254649,-9
1879,2.06144,4.72519,0.632989,5.194,628254651,2357,5.194,72,7,628254651,7
1880,2.07656,4.75758,-0.637377,5.23,628254653,2358,5.23,32,8,628254653,-7
1881,2.05299,4.70135,0.812521,5.194,628254656,2359,5.194,42,9,628254656,9
1882,2.08024,4.76375,-0.454779,5.218,628254658,2359,5.218,67,10,628254658,-5
1883,2.06479,4.72611,1.00251,5.254,628254660,2360,5.254,55,11,628254660,11
1884,2.08059,4.76002,-0.272252,5.202,628254663,2361,5.202,85,12,628254663,-3
1885,2.05819,4.70653,1.18594,5.272,628254665,2362,5.272,51,13,628254665,13
1886,2.07357,4.73945,-0.0902987,5.174,628254667,2363,5.174,52,14,628254667,-1
1887,2.06212,4.71104,1.37795,5.324,628254670,2364,5.324,43,15,628254670,15
1888,2.08807,4.7545,-1.39141,5.376,628254690,2371,5.376,17,0,628254690,-15
1889,2.08262,4.73985,0.0903686,5.178,628254693,2372,5.178,80,1,628254693,1
1890,2.09937,4.77571,-1.20439,5.354,628254695,2373,5.354,71,2,628254695,-13
1891,2.08013,4.72969,0.270786,5.174,628254697,2374,5.174,64,3,628254697,3
1892,2.08819,4.74801,-1.00823,5.284,628254700,2374,5.284,26,4,628254700,-11
1893,2.07026,4.70503,0.449724,5.16,628254702,2375,5.16,78,5,628254702,5
1894,2.08285,4.73139,-0.818778,5.234,628254704,2376,5.234,45,6,628254704,-9
1895,2.07632,4.71433,0.632502,5.19,628254706,2377,5.19,73,7,628254706,7
1896,2.09315,4.7503,-0.637377,5.23,628254709,2378,5.23,37,8,628254709,-7
1897,2.06538,4.68728,0.811269,5.186,628254711,2378,5.186,39,9,628254711,9
1898,2.09686,4.75646,-0.454779,5.218,628254713,2379,5.218,76,10,628254713,-5
1899,2.0781,4.71169,1.00098,5.246,628254716,2380,5.246,55,11,628254716,11
1900,2.09961,4.75821,-0.272566,5.208,628254718,2381,5.208,89,12,628254718,-3
1901,2.07224,4.69396,1.18459,5.266,628254720,2382,5.266,46,13,628254720,13
1902,2.0901,4.73219,-0.0902987,5.174,628254723,2383,5.174,45,14,628254723,-1
1903,2.06836,4.68297,1.37174,5.3,628254725,2383,5.3,40,15,628254725,15
1904,2.09917,4.73482,-1.38779,5.362,628254746,2391,5.362,31,0,628254746,-15
1905,2.09429,4.72159,0.0901591,5.166,628254748,2392,5.166,77,1,628254748,1
1906,2.10654,4.74698,-1.19899,5.33,628254750,2393,5.33,71,2,628254750,-13
1907,2.09663,4.7224,0.270786,5.174,628254753,2394,5.174,63,3,628254753,3
1908,2.10315,4.7371,-1.00747,5.28,628254755,2394,5.28,17,4,628254755,-11
1909,2.08506,4.69414,0.449375,5.156,628254757,2395,5.156,77,5,628254757,5
1910,2.09454,4.71326,-0.816901,5.222,628254759,2396,5.222,48,6,628254759,-9
1911,2.08389,4.6871,0.629821,5.168,628254762,2397,5.168,72,7,628254762,7
1912,2.10891,4.74115,-0.637133,5.228,628254764,2398,5.228,41,8,628254764,-7
1913,2.08254,4.68185,0.811582,5.188,628254766,2398,5.188,36,9,628254766,9
1914,2.10778,4.73637,-0.453558,5.204,628254769,2399,5.204,65,10,628254769,-5
1915,2.08096,4.67392,0.994496,5.212,628254771,2400,5.212,45,11,628254771,11
1916,2.10727,4.73079,-0.271414,5.186,628254773,2401,5.186,91,12,628254773,-3
1917,2.08782,4.68492,1.18414,5.264,628254776,2402,5.264,49,13,628254776,13
1918,2.10335,4.71756,-0.0901591,5.166,628254778,2403,5.166,45,14,628254778,-1
1919,2.08313,4.67219,1.37071,5.296,628254780,2403,5.296,39,15,628254780,15
1920,2.11727,4.73099,-1.38882,5.366,628254801,2411,5.366,27,0,628254801,-15
1921,2.11076,4.71425,0.0901591,5.166,628254803,2412,5.166,80,1,628254803,1
1922,2.11753,4.72715,-1.19584,5.316,628254806,2413,5.316,75,2,628254806,-13
1923,2.10411,4.6972,0.26974,5.154,628254808,2413,5.154,60,3,628254808,3
1924,2.11646,4.72257,-1.00594,5.272,628254810,2414,5.272,13,4,628254810,-11
1925,2.0998,4.6832,0.449026,5.152,628254812,2415,5.152,78,5,628254812,5
1926,2.10774,4.69872,-0.815649,5.214,628254815,2416,5.214,50,6,628254815,-9
