,X,Y,Z,azimuth,dis,laser_id,reflectivity
0,-6.296357781302629,-0.016483863784652136,-1.4536337131700556,26985,3231,2,104
1,-7.723696354688272,-0.020220635968745054,-1.2233175166146055,26985,3910,6,104
2,-74.86899690687977,-0.19600702335743442,-3.923731311445985,26985,37486,12,104
3,-6.28853804036191,0.024146371334395633,-1.4518341047353047,27022,3227,2,142
4,-6.300226076815225,0.0252908642399146,-1.4545335173874312,27023,3233,2,142
5,-95.60119691720989,1.0345448864370865,5.010539778786956,27062,47869,3,182
6,-74.46544168992642,0.8058250775176671,-3.902796928948807,27062,37286,12,182
7,-78.50929387976102,0.8632895647327141,1.370467667894125,27063,39263,1,182
8,-73.65876204098518,1.3371582936598068,-3.860928163954452,27104,36886,12,224
9,-78.20095243199951,1.4332677565178265,1.36523194596294,27105,39113,1,224
10,-9.180049671868831,0.3574757892463568,-1.128022642558045,27223,4628,8,87
11,-67.63784478473701,2.6338519737469146,-3.5474357860592183,27223,33891,12,87
12,-75.06115723065889,2.9360401225862063,1.3111992956331102,27224,37565,1,87
13,-9.189905017958601,0.3594659455165173,-1.1292413359920965,27224,4633,8,87
14,-67.5096571544117,2.640660887472062,-3.5407367836601216,27224,33827,12,87
15,-72.7173069063793,2.844359700283701,-1.2702559501312432,27224,36392,14,87
16,-9.165432320793668,0.42100886595236703,-1.1265602104371832,27263,4622,8,127
17,-9.230968611102767,0.42401923778165457,-0.8084566697272771,27263,4638,10,127
18,-67.51805112604178,3.1014028734246657,-3.5422021904349243,27263,33841,12,127
19,-9.121733021619004,0.42059697847894095,-1.1211979593273569,27264,4600,8,127
20,-9.21895281646355,0.4250797178732037,-0.8074108008143052,27264,4632,10,127
21,-8.757796054635284,0.4651077558330945,-1.076837518327883,27304,4418,8,168
22,-9.231677249842077,0.4902745692481524,-0.8088052926982677,27304,4640,10,168
23,-71.6933646539829,3.820029016815708,1.2531874966355798,27305,35903,1,168
24,-8.745821062314652,0.46600254284569853,-1.0753750862070213,27305,4412,8,168
25,-9.223633271612186,0.49146175393050007,-0.8081080467562866,27305,4636,10,168
26,-9.236204948544318,0.49213160909635195,-0.48473562672214576,27305,4631,12,168
27,-71.5234796242226,4.27433270972177,1.250674350108611,27342,35831,1,206
28,-75.79058462760865,4.529340248331699,3.9791027531510195,27342,38015,3,206
29,-8.710924499350707,0.5205757565922696,-1.0714752672180565,27342,4396,8,206
30,-8.82249903411165,0.5272435905120719,-0.7732457496572233,27342,4436,10,206
31,-9.256758764329527,0.553195495804395,-0.48599168967197637,27342,4643,12,206
32,-71.195369956193,4.267194909530432,1.2449499607971821,27343,35667,1,206
33,-75.78979295425327,4.542568131716307,3.9791027531510195,27343,38015,3,206
34,-8.79405803303859,0.5270842710107055,-1.081712292064089,27343,4438,8,206
35,-8.798541034697044,0.5273529660377576,-0.7711540118312795,27343,4424,10,206
36,-9.256662072513429,0.5548110965555391,-0.48599168967197637,27343,4643,12,206
37,-9.269949759625431,0.5556075128230388,-0.16209795098948926,27343,4644,14,206
38,-75.1592706494113,5.018425136102303,3.9477011794052532,27382,37715,3,246
39,-89.9190001286256,6.003940253273539,-11.065248903813771,27382,45398,8,246
40,-8.747036548617231,0.584044359434322,-0.7669705361793919,27382,4400,10,246
41,-8.858092484068228,0.591459624286749,-0.46526665099977066,27382,4445,12,246
42,-9.277924655878108,0.6194920453806547,-0.16230737986673668,27382,4650,14,246
43,-41.665139754656835,2.7893083521052775,-5.127287015741365,27383,21036,8,246
44,-8.8779171044958,0.5943397400005288,-0.46631337012462953,27383,4455,12,246
45,-9.241902264836801,0.6187070373085393,-0.16167909323499444,27383,4632,14,246
46,-9.33507585342812,0.6904395014863925,0.16338942906584825,27423,4681,1,31
47,-41.81490441817271,3.092707784541691,-5.14824854280705,27423,21122,8,31
48,-8.801846048696213,0.6510008374265194,-0.4625451812751376,27423,4419,12,31
49,-8.878393014198247,0.656662392783042,-0.15539622691757238,27423,4452,14,31
50,-9.259174754384183,0.6864506077195739,0.16206304617661468,27424,4643,1,31
51,-8.918162718416125,0.6611688816975952,-0.15609432317506375,27424,4472,14,31
52,-8.891656394393156,0.7185296407588951,0.1557103702334435,27462,4461,1,70
53,-9.318792597422776,0.7530462717334706,0.48996922234644014,27462,4681,3,70
54,-9.381466099510805,0.7581108814015645,0.8234474574798744,27462,4724,5,70
55,-40.5423825111727,3.276206619908504,-4.994205692742944,27462,20490,8,70
56,-8.694329789810118,0.7025837913002242,-0.15225479375886136,27462,4362,14,70
57,-8.883558172350648,0.7194358483568526,0.15557075098194523,27463,4457,1,70
58,-9.326623990175012,0.7553175779904244,0.4903879099963837,27463,4685,3,70
59,-9.295940468880186,0.7528326699451295,0.8159520636035758,27463,4681,5,70
60,-9.139220146185444,0.7401406589147321,1.1258289943767523,27463,4619,7,70
61,-40.2133600889961,3.2566829945405975,-4.953745070732435,27463,20324,8,70
62,-66.94067412884203,5.421197199040771,-3.519697729250458,27463,33626,12,70
63,-8.783899678157798,0.7113649952229412,-0.15382551033821687,27463,4407,14,70
64,-8.854415184373158,0.7793328125839476,0.15515189322745043,27503,4445,1,111
65,-9.333061043180711,0.8214614473507572,0.49101594147129896,27503,4691,3,111
66,-9.308320661569303,0.8192838906421392,0.8175208669730336,27503,4690,5,111
67,-9.119988182266301,0.8027075637204978,1.1241228235690803,27503,4612,7,111
68,-66.82957161382224,5.882091242061807,-3.5159295404009665,27503,33590,12,111
69,-8.710857637661483,0.7682295421293801,0.1526387467004816,27504,4373,1,111
70,-9.046424217477657,0.7978238910085921,0.47594318607333114,27504,4547,3,111
71,-9.300238783622037,0.8202083514194513,0.8168236210310523,27504,4686,5,111
72,-9.0862318527331,0.8013346132219046,1.1199792658933052,27504,4595,7,111
73,-66.86833471507018,5.897264345018425,-3.5180229786506843,27504,33610,12,111
74,-8.94790132823585,0.7891349424297222,-0.15679241943255506,27504,4492,14,111
75,-8.800981358573365,0.8365872701632564,0.15431417771846082,27543,4421,1,151
76,-8.905579914057995,0.8465300045505602,0.4688254960242908,27543,4479,3,151
77,-9.17741692501999,0.8723697801011014,0.8065392433868286,27543,4627,5,151
78,-9.066733600772674,0.8618486511142236,1.1182730950856332,27543,4588,7,151
79,-9.01199787610532,0.8566456846932958,-0.15801408788316493,27543,4527,14,151
80,-8.88444414236724,0.8460855847486562,0.15578017985919262,27544,4463,1,151
81,-8.925314665647024,0.8499777765429924,0.4698722151491497,27544,4489,3,151
82,-9.141563045064002,0.8705715957643277,0.803401636647913,27544,4609,5,151
83,-9.048797678292056,0.8617373413830792,1.1160794469043405,27544,4579,7,151
84,-38.77999686368275,3.6931062649708553,-4.7831279899652275,27544,19624,8,151
85,-9.101429222250285,0.8667495616112159,-0.15958480446252044,27544,4572,14,151
86,-8.964021395584044,0.9152743191210312,0.157281086812799,27583,4506,1,191
87,-8.907400759307789,0.9094930506446441,0.4692441836742343,27583,4483,3,191
88,-8.955055872631767,0.9143588914849757,0.7875392914678392,27583,4518,5,191
89,-9.054571386909666,0.9245199554263841,1.1175418790252023,27583,4585,7,191
90,-38.390592750604995,3.9198839549594133,-4.7382800715921345,27583,19440,8,191
91,-64.74545946308885,6.610856189550173,-1.1360120398156583,27583,32546,14,191
92,-68.49814547183583,7.006105450419831,1.2018774217099664,27584,34433,1,191
93,-8.907326981049058,0.9110563750409648,0.7833558158159516,27584,4494,5,191
94,-8.989241836096566,0.9194347640975659,1.1094985023604627,27584,4552,7,191
95,-38.42150464918602,3.9298160743150787,-4.742179890581099,27584,19456,8,191
96,-9.418840817137879,0.9633748699476706,1.4995807818756532,27584,4793,9,191
97,-64.55813147391379,6.60311419634388,-3.4009997804914613,27584,32492,12,191
98,-65.56390318766198,6.705986217725345,-1.15039282271998,27584,32958,14,191
99,-73.7713124623877,8.040185081943996,3.889084908413156,27622,37155,3,230
100,-8.932779338876294,0.9735654251420398,0.7861447995838766,27622,4510,5,230
101,-8.97702603604363,0.9783877825410827,1.1087672863000317,27622,4549,7,230
102,-38.52878793750623,4.199174118780413,-4.758754121284199,27622,19524,8,230
103,-9.44759183328619,1.029673790296356,1.5052124226171013,27622,4811,9,230
104,-9.543798769905543,1.0401591883564871,1.866111974782608,27622,4890,11,230
105,-63.95697798515496,6.9705407578947645,-3.3716916449954133,27622,32212,12,230
106,-68.19442058477443,7.4444147750618805,1.1974096056620218,27623,34305,1,230
107,-8.984105479028155,0.9807460345769695,0.790676898206755,27623,4536,5,230
108,-8.949227973796942,0.9769386466259602,1.1053549446846875,27623,4535,7,230
109,-38.52805445654058,4.205898596852315,-4.758754121284199,27623,19524,8,230
110,-9.459194241363642,1.0326088962519877,1.5070896361975843,27623,4817,9,230
111,-9.455792385441871,1.0322375341043295,1.848939165198719,27623,4845,11,230
112,-64.04312083005024,6.991239911711265,-3.3762972091447923,27623,32256,12,230
113,-63.90257525486546,6.975897314069065,-1.1220501146658315,27623,32146,14,230
114,-67.87064750142368,7.888916768268645,1.1926625511110807,27663,34169,1,15
115,-8.975060634171944,1.0432124775538891,0.7905025867212596,27663,4535,5,15
116,-8.936274173748014,1.0387041492958788,1.1046237286242568,27663,4532,7,15
117,-9.047548568920845,1.0516380828043146,1.442638636601009,27663,4611,9,15
118,-9.471757135562695,1.1009457908905516,1.8535185810877564,27663,4857,11,15
119,-63.9317703321965,7.431083002238712,-1.1234463071808143,27663,32186,14,15
120,-68.13940394371859,7.9322090511417285,1.1974096056620218,27664,34305,1,15
121,-9.09955699821012,1.0592929231109929,0.8014842103074644,27664,4598,5,15
122,-8.993274278636388,1.0469203941279237,1.1116921505417552,27664,4561,7,15
123,-9.000273851761323,1.0477352248144614,1.4351297822790778,27664,4587,9,15
124,-9.479365181654186,1.10350695693056,1.8550450530507685,27664,4861,11,15
125,-63.840679784823614,7.431788197596947,-3.3683421437958647,27664,32180,12,15
126,-9.508003823446847,1.1068408236874188,2.20991915787413,27664,4912,13,15
127,-64.18471648556546,7.471838020072696,-1.1279141232287588,27664,32314,14,15
128,-67.615452751171,8.33807310129349,1.1891720698236241,27703,34069,1,55
129,-75.94968212295005,9.36581766141015,4.010504326896785,27703,38315,3,55
130,-9.023373040748295,1.112727061236711,1.1163231855911508,27703,4580,7,55
131,-8.99293369844934,1.1089734006322631,1.4351297822790778,27703,4587,9,55
132,-9.052707876543748,1.1163445184203087,1.7729971850388544,27703,4646,11,55
133,-63.81240158950824,7.869095710716835,-3.3695982067456955,27703,32192,12,55
134,-9.496381412284942,1.1710566030636427,2.2090193536567546,27703,4910,13,55
135,-67.81245838751273,8.374382811946859,1.1926625511110807,27704,34169,1,55
136,-9.163125312336778,1.1315843864684119,0.807759423785296,27704,4634,5,55
137,-9.056670843804039,1.11843797513436,1.120466743266926,27704,4597,7,55
138,-8.888834358251158,1.0977112972752598,1.4185477289848134,27704,4534,9,55
139,-9.015492291719182,1.1133527007319828,1.7657464432145455,27704,4627,11,55
140,-63.68813071501887,7.8650560659085595,-3.363108548171571,27704,32130,12,55
141,-9.5193854586454,1.1755801199482347,2.214418178961007,27704,4922,13,55
142,-65.5994665474887,8.531525810863132,1.1546861147035519,27741,33081,1,93
143,-75.88589573938317,9.869325350570263,4.010504326896785,27741,38315,3,93
144,-9.135874118254948,1.1881643242977316,1.131191245486579,27741,4641,7,93
145,-8.914861310403026,1.1594205467343117,1.4238665007961815,27741,4551,9,93
146,-9.004220924560082,1.1710421939023996,1.7649832072330394,27741,4625,11,93
147,-9.46908121543313,1.2314995082489686,2.204520332569877,27741,4900,13,93
148,-65.08190478185601,8.464214416508812,-1.1455759585432896,27741,32820,14,93
149,-9.561349129196602,1.2434993937544045,2.5835317082133624,27741,4991,15,93
150,-65.62177191894767,8.54607387753078,1.1551049724580467,27742,33093,1,93
151,-28.930036492329986,3.7676250109260727,-4.620761228358339,27742,14769,6,93
152,-9.218342321198735,1.2005258651448543,1.1414282703326113,27742,4683,7,93
153,-9.019590916856872,1.1746420138696023,1.768036151159064,27742,4633,11,93
154,-9.043733368800297,1.1777861407631596,2.1055418686585763,27742,4680,13,93
155,-65.08042650650779,8.475573222752853,-1.1455759585432896,27742,32820,14,93
156,-9.591782745658314,1.2491598682045388,2.5918139176566424,27742,5007,15,93
157,-28.788831814545894,3.9589371650288165,-4.602614830413673,27783,14711,6,135
158,-9.149045965761967,1.25814407238682,1.7951310285025335,27783,4704,11,135
159,-62.75843730850317,8.630315793301088,-3.3199837202273845,27783,31718,12,135
160,-9.03507383328288,1.2424710324400907,2.1055418686585763,27783,4680,13,135
161,-9.571115401243956,1.3161855512879579,2.5887080891154124,27783,5001,15,135
162,-28.764657460677576,3.9607282362313563,-4.598860403252707,27784,14699,6,135
163,-62.745058536027635,8.639634432197404,-3.319355688752469,27784,31712,12,135
164,-9.038717893501321,1.2445795757888016,2.106441672875952,27784,4682,13,135
165,-63.97850327652413,8.80947269354969,-1.1272858365970166,27784,32296,14,135
166,-9.168988724531289,1.2625171215260687,2.480004090172354,27784,4791,15,135
167,-68.4172808469445,9.883460066374097,1.2066244762609075,27822,34569,1,174
168,-28.808139446257915,4.161581581129765,-4.610123684735604,27822,14735,6,174
169,-67.40418147353633,9.737109216466044,-5.958315197200903,27822,34182,10,174
170,-62.524286080235015,9.032166683662501,-3.3107725919286266,27822,31630,12,174
171,-9.107413579324646,1.3156436108674767,2.124437757223461,27822,4722,13,174
172,-63.962211299475015,9.239887252309236,-1.128053742480257,27822,32318,14,174
173,-9.125997717083601,1.3183282481569873,2.470686604548663,27822,4773,15,174
174,-67.52473697824094,9.766556019822506,-5.969122509301612,27823,34244,10,174
175,-62.52666209772553,9.04365089651116,-3.3109819357535986,27823,31632,12,174
176,-65.00358407595625,9.401904750427175,-1.146448578865154,27823,32845,14,174
177,-9.106647923263022,1.317155624375237,2.4655102236466124,27823,4763,15,174
178,-8.315576812384585,1.2605819848658735,1.6348514723862357,27862,4284,11,214
179,-62.58213779398696,9.487004600811463,-3.317262250502752,27862,31692,12,214
180,-64.81945553261872,9.82616597221984,-1.14435429009268,27862,32785,14,214
181,-9.173872621123383,1.3906934922925909,2.486215747254814,27862,4803,15,214
182,-69.19493874382327,10.501812592039991,1.2216335457969714,27863,34999,1,214
183,-63.385236778142605,9.62006600237875,-5.608994980268289,27863,32178,10,214
184,-8.28041819925637,1.2567306466482007,1.6279823485526803,27863,4266,11,214
185,-62.5567852941452,9.49433076242502,-3.316006187552921,27863,31680,12,214
186,-69.12783627170313,10.985879970479075,1.2217731650484696,27903,35003,1,255
187,-66.18149777061414,10.517644265861565,-5.862792503149469,27903,33634,10,255
188,-62.59549373915796,9.947752135744976,-3.3216584708271593,27903,31734,12,255
189,-64.37619858151321,10.230743919027123,-1.1377921852722612,27903,32597,14,255
190,-66.18753165421946,10.530447164484364,-5.863489749091451,27904,33638,10,255
191,-62.510913638080794,9.945496633843577,-3.317262250502752,27904,31692,12,255
192,-8.383272762301235,1.3337800743207835,1.959773585443752,27904,4356,13,255
193,-64.62719368895434,10.282197137760244,-1.142260001320206,27904,32725,14,255
194,-61.982912445938545,10.294551139374812,-5.497087006580296,27943,31536,10,39
195,-62.63879609347121,10.403484835526857,-3.3277294417513406,27943,31792,12,39
196,-8.239431462653977,1.3684618099487695,1.928280437835611,27943,4286,13,39
197,-65.1869635837579,10.826702130508414,-1.1534295414400673,27943,33045,14,39
198,-67.44174489149782,11.213287669343032,1.193360647368572,27944,34189,1,39
199,-62.6369793887964,10.414417209330383,-3.3277294417513406,27944,31792,12,39
200,-8.218046644503662,1.3663839993042062,1.923331514640046,27944,4275,13,39
201,-65.0430446724782,10.81446472026815,-1.1509163949130985,27944,32973,14,39
202,-67.3264848962191,11.653507264268567,1.1926625511110807,27982,34169,1,78
203,-61.87773264402534,10.710385489085777,-3.2910942723812795,27982,31442,12,78
204,-64.87531139945604,11.229234881794683,-1.149240963895119,27982,32925,14,78
205,-68.4633048206069,11.862586318308756,1.2128375329525805,27983,34747,1,78
206,-62.84006063318144,10.888250946432514,-5.579710650705075,27983,32010,10,78
207,-61.97425921637068,10.73823417367602,-3.2963278680055743,27983,31492,12,78
208,-64.81424042575946,11.230315622665742,-1.1481938195088823,27983,32895,14,78
209,-28.228051864951706,5.089201272925574,-5.575438844902639,28022,14610,4,118
210,-65.03149234512878,11.724448970352112,-1.1534295414400673,28022,33045,14,118
211,-14.64682575175211,2.643297998658454,-2.8930459878991726,28023,7581,4,118
212,-7.778436684840214,1.4037666911733475,1.824802952837433,28023,4056,13,118
