,X,Y,Z,azimuth,dis,laser_id,reflectivity
0,-9.90124831356432,1.6977876031913361,-2.3192453702852482,27973,5155,2,69
1,-10.342645420128894,1.7734748813886938,-2.0397481605752636,27973,5345,4,69
2,-12.084787616779645,2.0722036205132457,-1.941977449009426,27973,6207,6,69
3,-12.907274424715746,2.21323714094211,-1.607944116887516,27973,6597,8,69
4,-17.084443171237165,2.9295049376568607,-1.5165099238092523,27973,8700,10,69
5,-8.436646918302472,1.4481651741295736,-2.2936543776985387,27974,4431,0,69
6,-9.92015834504456,1.7028125007790382,-2.3237443913721254,27974,5165,2,69
7,-11.21693549921376,1.9254065634985138,-2.2122394923956605,27974,5797,4,69
8,-12.20123993378528,2.094364138313626,-1.9607495848142538,27974,6267,6,69
9,-12.95188694836913,2.2232140090159778,-1.6135501066841527,27974,6620,8,69
10,-14.24053702057025,2.444413043925538,-1.264106892812034,27974,7252,10,69
11,-38.68239965851648,6.639901441851106,-2.0569077522601784,27974,19651,12,69
12,-8.495056714993396,1.5177896348957194,-2.3122893489459204,28013,4467,0,109
13,-9.925603201377829,1.7733816458870753,-2.327793510350315,28013,5174,2,109
14,-11.389104286157416,2.03486156905423,-2.248874819507957,28013,5893,4,109
15,-12.297542734246194,2.197169898087084,-1.97858311382884,28013,6324,6,109
16,-12.236869406228886,2.1863295527581625,-1.5262916568060672,28013,6262,8,109
17,-19.362254524538578,3.459403534491911,-1.7208029848097628,28013,9872,10,109
18,-38.8132586950148,6.934663736834795,-2.0663282243839083,28013,19741,12,109
19,-8.536628577915351,1.526754703345322,-2.3236773869304312,28014,4489,0,109
20,-9.950231460176758,1.7795740487644878,-2.3336422377632555,28014,5187,2,109
21,-11.284389138158623,2.01818481779018,-2.2282674480072906,28014,5839,4,109
22,-12.316604291524783,2.202793920304389,-1.9817118031296448,28014,6334,6,109
23,-12.83052983082786,2.2947082196251007,-1.6003882175963966,28014,6566,8,109
24,-16.015725037806384,2.86437242826928,-1.4234275905547533,28014,8166,10,109
25,-8.54637602182736,1.5916927300217576,-2.3293714059226867,28055,4500,0,151
26,-9.958316222622882,1.8546550601476401,-2.3385911609588206,28055,5198,2,151
27,-11.47231550623927,2.136625060863229,-2.2683373370363644,28055,5944,4,151
28,-12.215078928507978,2.2749586816086453,-1.9679455702061044,28055,6290,6,151
29,-13.001128273760834,2.4213539519643974,-1.623787131530185,28055,6662,8,151
30,-15.246591284110048,2.839553097424114,-1.3568406030955422,28055,7784,10,151
31,-41.82051001411428,7.7887284136879105,-2.2294070640369212,28055,21299,12,151
32,-8.523308493968173,1.5889358382321865,-2.3231597488402262,28056,4488,0,151
33,-10.000138550376331,1.864250078619711,-2.3484890073499507,28056,5220,2,151
34,-75.06399000779932,13.993611045347253,4.001711886247971,28056,38231,3,151
35,-11.441062359735716,2.1328705893607505,-2.262231449184315,28056,5928,4,151
36,-12.403048002638375,2.31220628569916,-1.9982938564239092,28056,6387,6,151
37,-15.143421561889646,2.8230733699446384,-1.8914122096478887,28056,7760,8,151
38,-15.13641131641135,2.8217665029829235,-1.3470791599078045,28056,7728,10,151
39,-50.35860596404166,9.387973442039034,-0.8941565914077835,28056,25617,14,151
40,-8.599542819158051,1.6637950452464358,-2.346971100989658,28095,4534,0,191
41,-9.98913069678637,1.9326453172145992,-2.3489389094586386,28095,5221,2,191
42,-76.21020813801988,14.74475671134008,4.068073878764024,28095,38865,3,191
43,-11.391584257388413,2.2039847749494412,-2.2553623253507595,28095,5910,4,191
44,-12.297809170253968,2.379316481717106,-1.983901885640208,28095,6341,6,191
45,-15.119956945170888,2.925331029653241,-1.8909247322742682,28095,7758,8,191
46,-15.11098531450696,2.9235952449772036,-1.3465562254513188,28095,7725,10,191
47,-42.823999370287304,8.285365800050329,-2.285929896779301,28095,21839,12,191
48,-8.66563382532467,1.6781510969080757,-2.3650884341468346,28096,4569,0,191
49,-10.007925188502027,1.9380937357146397,-2.3534379305455158,28096,5231,2,191
50,-11.50299122073591,2.227622090191272,-2.2774961688144386,28096,5968,4,191
51,-12.316787175032104,2.3852184762017723,-1.9870305749410124,28096,6351,6,191
52,-15.10385507209813,2.924950611541959,-1.8889748227797858,28096,7750,8,191
53,-19.63677109712195,3.802776533213755,-1.7499130028874805,28096,10039,10,191
54,-41.93233611415908,8.120444189580985,-2.2384088485107076,28096,21385,12,191
55,-8.671056991626592,1.7405185908975374,-2.36974717695868,28135,4578,0,231
56,-10.030803215025072,2.0134568939225543,-2.3619860706105826,28135,5250,2,231
57,-74.76600567538293,15.007584769748298,3.9964782906236764,28135,38181,3,231
58,-11.495261354474227,2.30741374598383,-2.2790226407774514,28135,5972,4,231
59,-12.383546328671363,2.4857168655571487,-2.0004839389344724,28135,6394,6,231
60,-14.192203965380486,2.8487639824543125,-1.7773425042206707,28135,7292,8,231
61,-19.82335501627239,3.9790902047008325,-1.7689129548064702,28135,10148,10,231
62,-41.72726788027383,8.375805344505554,-2.23045378316178,28135,21309,12,231
63,-8.716209192279715,1.7511644890296671,-2.3821704911236012,28136,4602,0,231
64,-10.024719961071684,2.0140560214920824,-2.3606363642845194,28136,5247,2,231
65,-11.531429509745259,2.3167674638994193,-2.28627338260176,28136,5991,4,231
66,-12.27659506938782,2.4664778985284754,-1.9832761477800471,28136,6339,6,231
67,-14.442766631747059,2.9016811656218473,-1.8087847948191988,28136,7421,8,231
68,-19.939861613050343,4.006096779304906,-1.779371643936189,28136,10208,10,231
69,-41.73755417465357,8.385448434893386,-2.2310818146366955,28136,21315,12,231
70,-8.747589089604247,1.8195011473175116,-2.3940761671983166,28175,4625,0,15
71,-10.029857641157536,2.0862133896075665,-2.3651353853713966,28175,5257,2,15
72,-11.584588908546355,2.409597958293605,-2.3000116302688713,28175,6027,4,15
73,-12.344617294359255,2.5676840898911526,-1.9970423807035873,28175,6383,6,15
74,-12.786257762881073,2.6595454394522857,-1.6035568205249304,28175,6579,8,15
75,-19.715116638097705,4.100750158137597,-1.7617661839011625,28175,10107,10,15
76,-37.58488658456574,7.8176676524148165,-2.011898829891247,28175,19221,12,15
77,-52.13014670841732,10.84308610912206,-0.9294104524110961,28175,26627,14,15
78,-8.737814883900205,1.8190591831398004,-2.3914879767472916,28176,4620,0,15
79,-10.03140121137979,2.0883610760560187,-2.3655852874800845,28176,5258,2,15
80,-11.651439770131194,2.4256245745958176,-2.3133682599452294,28176,6062,4,15
81,-12.040544563799447,2.5066293403788635,-1.9479219586809549,28176,6226,6,15
82,-12.791623665035926,2.6629907825153865,-1.6042880365853613,28176,6582,8,15
83,-16.888026178334847,3.515789646838233,-1.5091888414184487,28176,8658,10,15
84,-37.48575475008663,7.8038740029515,-2.006665234266952,28176,19171,12,15
85,-49.85729636566387,10.37941110054756,-0.8889208694765984,28176,25467,14,15
86,-8.813993784230686,1.897603212887486,-2.4158169669869283,28215,4667,0,55
87,-10.138879556802097,2.182843656696112,-2.394379022436099,28215,5322,2,55
88,-78.35268880621702,16.86889254256812,4.2003791761461855,28215,40129,3,55
89,-11.684560487886573,2.515620054402731,-2.3232903277048096,28215,6088,4,55
90,-12.183487312825228,2.6230361893781406,-1.973890079877633,28215,6309,6,55
91,-12.862469871306857,2.769217309538956,-1.615500016178635,28215,6628,8,55
92,-16.89486806900371,3.6373699271731357,-1.5119778251863738,28215,8674,10,55
93,-42.24738904793592,9.095624884249698,-0.7543279110322679,28215,21611,14,55
94,-8.866540653468316,1.9105355513322984,-2.43031083351267,28216,4695,0,55
95,-10.113733208298212,2.1792768573824084,-2.3885302950231586,28216,5309,2,55
96,-78.34974343569193,16.882567409545427,4.2003791761461855,28216,40129,3,55
97,-11.734020586569484,2.5284115154805877,-2.3332123954643897,28216,6114,4,55
98,-12.090338655777954,2.6051898629117893,-1.958872371233771,28216,6261,6,55
99,-12.893035206392483,2.7781525049181703,-1.6193998351675998,28216,6644,8,55
100,-13.816888251712182,2.977221584537115,-1.2365656781037742,28216,7094,10,55
101,-42.1285112023401,9.077725070294164,-0.752233622259794,28216,21551,14,55
102,-8.88161614980084,1.9771400779372323,-2.4380754048657454,28255,4710,0,95
103,-10.208991507997174,2.2726276305281097,-2.414624617327047,28255,5367,2,95
104,-11.756781800007733,2.6171818385643206,-2.3412263732702048,28255,6135,4,95
105,-12.155237418801779,2.7058822011908514,-1.972325735227231,28255,6304,6,95
106,-14.78629879007766,3.2915838119026235,-1.8599699190493608,28255,7631,8,95
107,-13.041726537539407,2.903223893935671,-1.1689328217315913,28255,6706,10,95
108,-42.35853304025128,9.429449764994317,-0.757469344190979,28255,21701,14,95
109,-8.926525822249499,1.988772680006943,-2.450498719030666,28256,4734,0,95
110,-10.204790495214015,2.273561847711295,-2.413724813109672,28256,5365,2,95
111,-11.746743479706964,2.617099079382234,-2.339318283316439,28256,6130,4,95
112,-12.216464282692558,2.72174986052715,-1.9823375409898056,28256,6336,6,95
113,-13.971937662914232,3.1128580664052246,-1.7575996705890369,28256,7211,8,95
114,-16.901467314467197,3.7655384767118845,-1.5149411204397945,28256,8691,10,95
115,-37.50960405361142,8.3568991190014,-2.0139922681409645,28256,19241,12,95
116,-41.90796337352147,9.336825355308044,-0.7494412372298286,28256,21471,14,95
117,-8.963615345427367,2.0611761624204945,-2.4644749474662024,28295,4761,0,135
118,-69.53638659131403,15.989836348342216,1.245438628177426,28295,35681,1,135
119,-10.228961258636929,2.3521414407168484,-2.423172757392114,28295,5386,2,135
120,-10.781563589637612,2.4792119037011457,-2.15041737789366,28295,5635,4,135
121,-12.189954514908882,2.8030702678398267,-1.9810860652694837,28295,6332,6,135
122,-13.598327768019368,3.126924568279304,-1.713239229589563,28295,7029,8,135
123,-13.692973936194324,3.148688378771928,-1.229244595712971,28295,7052,10,135
124,-42.08053567815219,9.676385442614848,-2.2629020760324052,28295,21619,12,135
125,-41.995448408290855,9.656819693125934,-0.7521638126340447,28295,21549,14,135
126,-9.008438858192735,2.0731387651896123,-2.4768982616311237,28296,4785,0,135
127,-10.241844274087299,2.3569860134351117,-2.426322072152928,28296,5393,2,135
128,-11.810456067917903,2.7179753000934044,-2.355727856918822,28296,6173,4,135
129,-12.70153043867346,2.9230408891216566,-2.0643092006708863,28296,6598,6,135
130,-13.414001859137462,3.087004051230519,-1.6900840543425852,28296,6934,8,135
131,-21.078411354894616,4.85083735110255,-1.8923254865371542,28296,10856,10,135
132,-43.72937866399096,10.063571670193111,-2.3516638578204376,28296,22467,12,135
133,-42.03663498737843,9.674015545013498,-0.7529317185172854,28296,21571,14,135
134,-9.014795004461444,2.1393154502611837,-2.482592280623379,28335,4796,0,175
135,-10.305199032570572,2.4455432982651493,-2.445217960717813,28335,5435,2,175
136,-11.826065588530021,2.8064625781089334,-2.362596980752378,28335,6191,4,175
137,-12.28540834418586,2.9154699436290317,-1.9998582010743116,28335,6392,6,175
138,-12.550566224940937,2.978394985271921,-1.5838139868932966,28335,6498,8,175
139,-21.015826445384185,4.987299455214168,-1.8897108142547245,28335,10841,10,175
140,-9.044494618741096,2.14803104407235,-2.49087449006666,28336,4812,0,175
141,-10.306668050006738,2.447792150430252,-2.4456678628265003,28336,5436,2,175
142,-11.85422744321037,2.8153312733193383,-2.368321250613674,28336,6206,4,175
143,-12.196491087491347,2.896617510324719,-1.9854662302906103,28336,6346,6,175
144,-12.295105285643624,2.920037985204373,-1.5516404802343378,28336,6366,8,175
145,-15.375945801368243,3.6517251992030118,-1.3826387029488492,28336,7932,10,175
