,X,Y,Z,azimuth,dis,laser_id,reflectivity
0,-32.837540630693475,-3.642702503719629,0.5766973183135964,26367,16522,1,255
1,-6.443931115122573,-0.7148319745027781,-1.4968243156040777,26367,3327,2,255
2,-50.51836466675733,-5.60405468622124,2.663795500853355,26367,25449,3,255
3,-7.428542438954754,-0.8240559317671574,-1.4528196907970121,26367,3807,4,255
4,-57.407230660312884,-6.368243749121348,5.05328996450922,26367,28990,5,255
5,-8.302937479567392,-0.9210534822080235,-1.3231227053102728,26367,4229,6,255
6,-59.5389166655541,-6.60471389272212,7.355302351874271,26367,30177,7,255
7,-9.448648703030075,-1.0481484187376555,-1.1672645711345024,26367,4789,8,255
8,-57.523708965203355,-6.381164808515697,9.166746782427449,26367,29299,9,255
9,-27.792703770868965,-3.0830735087588175,-2.4464616989267647,26367,14035,10,255
10,-34.342618052430694,-3.80966230604202,6.716476637254377,26367,17600,11,255
11,-29.58368457026541,-3.2817488698477404,-1.5599255117771837,26367,14903,12,255
12,-23.87953913986961,-2.648982090064548,5.546843098011023,26367,12329,13,255
13,-31.261449980642638,-3.4678651301904155,-0.5490178017040648,26367,15729,14,255
14,-5.73729166441006,-0.6354300770203377,-1.546702613532664,26368,2988,0,255
15,-32.88388937778356,-3.6420341830750997,0.5775001290097115,26368,16545,1,255
16,-6.475046128092371,-0.7171396018450535,-1.5040227493430813,26368,3343,2,255
17,-50.04688321325133,-5.5429106127018075,2.638883585681714,26368,25211,3,255
18,-7.436491442166984,-0.8236238640559226,-1.4543461627600245,26368,3811,4,255
19,-49.42780951030389,-5.474345499795767,4.350814677963096,26368,24960,5,255
20,-8.314878336312024,-0.9209090439714935,-1.3249999188907555,26368,4235,6,255
21,-57.330277044381795,-6.349578248547121,7.082315022646741,26368,29057,7,255
22,-9.395559737252508,-1.040599222892294,-1.1606836265906246,26368,4762,8,255
23,-57.44432358059438,-6.362209399886176,9.15391915629415,26368,29258,9,255
24,-27.7813597604188,-3.076906771499792,-2.445415830013793,26368,14029,10,255
25,-34.32962318080393,-3.8021555078288762,6.713805311319105,26368,17593,11,255
26,-29.58028665109111,-3.2761457712851385,-1.559716167952212,26368,14901,12,255
27,-23.88581180126686,-2.645457843240562,5.548192804337087,26368,12332,13,255
28,-31.295842982325773,-3.4661511179631623,-0.5496111835229324,26368,15746,14,255
29,-5.756751616840944,-0.5989645929020714,-1.5508437182543042,26406,2996,0,38
30,-32.80787292848939,-3.4135143498477043,0.5757548883659831,26406,16495,1,38
31,-6.526178583023531,-0.6790200721447782,-1.514820399951587,26406,3367,2,38
32,-51.0917042114138,-5.315866281973728,2.6920569172245448,26406,25719,3,38
33,-7.443743042766227,-0.77448860364845,-1.4547277807507777,26406,3812,4,38
34,-49.3223292742225,-5.131770630557124,4.338438562492928,26406,24889,5,38
35,-8.428865498201251,-0.8769862463732414,-1.3422077100451808,26406,4290,6,38
36,-57.371127851527845,-5.969212591593477,7.082315022646741,26406,29057,7,38
37,-9.46741088371394,-0.9850423091403351,-1.1687270032553643,26406,4795,8,38
38,-57.40077051980177,-5.97229678037162,9.14046579230069,26406,29215,9,38
39,-27.842770955153927,-2.8969174076631283,-2.4490763712091947,26406,14050,10,38
40,-34.43024064272144,-3.5823145486698507,6.728688412958476,26406,17632,11,38
41,-29.668906349292936,-3.0869187340595516,-1.563275012976732,26406,14935,12,38
42,-31.342010403585068,-3.2609978250924594,-0.5500300412774272,26406,15758,14,38
43,-5.772228180534212,-0.5995565295793004,-1.5549848229759446,26407,3004,0,38
44,-32.91189592580237,-3.418531195577747,0.5775699386354606,26407,16547,1,38
45,-6.545680116441228,-0.6798943374387748,-1.5193194210384644,26407,3377,2,38
46,-49.90068835449501,-5.183142903867383,2.629253769733012,26407,25119,3,38
47,-7.449736349298616,-0.7737979047551915,-1.4558726347230369,26407,3815,4,38
48,-49.7294783929393,-5.1653594678753825,4.3741724170194685,26407,25094,5,38
49,-8.368109441790233,-0.8691885523477689,-1.3325087732126866,26407,4259,6,38
50,-59.39600034060995,-6.1694130448965145,7.332147176627293,26407,30082,7,38
51,-9.479429480595318,-0.9846204384199244,-1.170189435376226,26407,4801,8,38
52,-57.33893821079228,-5.955747716169274,9.130453986538114,26407,29183,9,38
53,-27.865075144780402,-2.8943221279108853,-2.4509937975496427,26407,14061,10,38
54,-34.28245644778153,-3.560890174543157,6.699685445661242,26407,17556,11,38
55,-29.727055238531126,-3.0877244481655923,-1.566310498438823,26407,14964,12,38
56,-31.348546061918846,-3.2561473483713583,-0.5501347557160509,26407,15761,14,38
57,-5.7954037616100695,-0.562117654792857,-1.560161203877995,26446,3014,0,78
58,-32.98217102828578,-3.1990628075318432,0.5784076541444502,26446,16571,1,78
59,-6.565673438188629,-0.6368289608496592,-1.5229186379079662,26446,3385,2,78
60,-49.736019618271634,-4.824080574290699,2.6187865784844235,26446,25019,3,78
61,-7.486096148246229,-0.7261041652146998,-1.4619785225750863,26446,3831,4,78
62,-48.91472603457116,-4.7444202706852305,4.299567101227472,26446,24666,5,78
63,-8.41708721392632,-0.816404433496233,-1.3393918896744565,26446,4281,6,78
64,-59.343754366179326,-5.755970317700967,7.320691458347209,26446,30035,7,78
65,-9.479984466420122,-0.9194987709115777,-1.1694582193157952,26446,4798,8,78
66,-57.319164575471646,-5.5595978625825015,9.1210679186357,26446,29153,9,78
67,-27.957504566422777,-2.7117018152971855,-2.4574433225129697,26446,14098,10,78
68,-34.55993121322965,-3.352095605843691,6.749295784459143,26446,17686,11,78
69,-29.735456311207763,-2.884151933739968,-1.5656824669639076,26446,14958,12,78
70,-31.358041430851635,-3.0415324683280547,-0.5499253268388035,26446,15755,14,78
71,-5.814730387156757,-0.5629678235483828,-1.5653375847800455,26447,3024,0,78
72,-32.90311332522898,-3.1855981040124166,0.5770114616294674,26447,16531,1,78
73,-6.58130184943821,-0.6371853777565856,-1.526517854777468,26447,3393,2,78
74,-49.999272014270346,-4.8408059309248435,2.6326032709325604,26447,25151,3,78
75,-7.478406294749808,-0.7240408127373983,-1.460452050612074,26447,3827,4,78
76,-48.90365464767364,-4.734730965578711,4.298521232314501,26447,24660,5,78
77,-8.403466293931121,-0.8136028353448505,-1.3372018071638936,26447,4274,6,78
78,-33.63100140125057,-3.256070428378442,4.1486761881980305,26447,17021,7,78
79,-9.65797161443586,-0.9350609396577065,-1.1913947011287218,26447,4888,8,78
80,-33.45067198377402,-3.238611379906865,5.322839107458896,26447,17013,9,78
81,-27.948061838996942,-2.7058622667437455,-2.456571765085493,26447,14093,10,78
82,-29.70216385691278,-2.8756900884238434,-1.5639030444516475,26447,14941,12,78
83,-34.543591110122335,-3.344425108301513,8.012306653619785,26447,17809,13,78
84,-31.332696749486093,-3.0335542528197608,-0.5494715642714341,26447,15742,14,78
85,-5.839592568968819,-0.5252792860876836,-1.5710316037723009,26486,3035,0,118
86,-6.608777381763112,-0.5944685051234598,-1.5319166800817208,26486,3405,2,118
87,-49.66902436789649,-4.4677962293604905,2.613552982860129,26486,24969,3,118
88,-7.494893558855196,-0.6741758592575635,-1.4627417585565925,26486,3833,4,118
89,-49.00221862079538,-4.407816146390715,4.304447822821341,26486,24694,5,118
90,-8.454060558873605,-0.7604542341712269,-1.344397792555744,26486,4297,6,118
91,-33.7037903546739,-3.0317017372118307,4.155013394055098,26486,17047,7,118
92,-9.60282218294428,-0.8637869031288707,-1.1838388018376027,26486,4857,8,118
93,-33.45029965603189,-3.008899904440121,5.31939754922801,26486,17002,9,118
94,-27.97972311303211,-2.5168141112865103,-2.4577919454839603,26486,14100,10,118
95,-32.72685455115039,-2.943825034279635,6.387140311234462,26486,16737,11,118
96,-29.711103686927867,-2.672554146410681,-1.563379684889218,26486,14936,12,118
97,-34.73635500775754,-3.1245823307473017,8.051898039184305,26486,17897,13,118
98,-31.35261948353824,-2.8202107227148407,-0.5494715642714341,26486,15742,14,118
99,-39.840067127864366,-3.5836681705870106,10.71821429578559,26486,20706,15,118
100,-5.85892529252221,-0.525987457732935,-1.5762079846743513,26487,3045,0,118
101,-6.643817851478626,-0.5964515140345058,-1.5400149180380998,26487,3423,2,118
102,-51.368630418217464,-4.611640185169419,2.702942796123077,26487,25823,3,118
103,-7.516520404145908,-0.6747987490846558,-1.4669395564548764,26487,3844,4,118
104,-48.86407857804637,-4.386793000848209,4.29224601883667,26487,24624,5,118
105,-8.393201767913064,-0.7535031835580334,-1.3346988557232498,26487,4266,6,118
106,-33.676639002106455,-3.023334289023216,4.151601052439754,26487,17033,7,118
107,-9.62076706301004,-0.8637083690710369,-1.1860324500188952,26487,4866,8,118
108,-57.148929149688406,-5.130568910644677,9.087903812047172,26487,29047,9,118
109,-28.025803352735092,-2.5160281656505545,-2.4618011096503527,26487,14123,10,118
110,-32.67457230834499,-2.933373334340427,6.3768366254841276,26487,16710,11,118
111,-29.717537459541912,-2.6679042995099698,-1.5636937006266758,26487,14939,12,118
112,-35.01251248110515,-3.14326288684442,8.115784138617963,26487,18039,13,118
113,-31.373028079418432,-2.8165266592387987,-0.5498206124001798,26487,15752,14,118
114,-39.690611144219424,-3.5632411422380894,10.677838524749596,26487,20628,15,118
