"intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle","Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2"
9,0,5,35.26,311130738,311130738,-15,0.02972168289124966,34.05853271484375,-9.125959396362305
3,1,6,22.592,311130740,311130740,1,0.02365467883646488,22.58854675292969,0.3942847549915314
9,2,7,39.388,311130742,311130742,-13,0.04688815772533417,38.37845993041992,-8.860372543334961
66,10,13,16.54,311130761,311130761,-5,0.0373852327466011,16.47701835632324,-1.441555976867676
8,0,25,35.06,311130793,311130793,-15,0.147765040397644,33.86503601074219,-9.074195861816406
6,1,26,22.564,311130795,311130795,1,0.1023762375116348,22.56033134460449,0.3937960863113403
17,4,28,59.482,311130802,311130802,-11,0.2853420674800873,58.38845062255859,-11.34970092773438
1,5,29,12.13,311130804,311130804,5,0.06116155907511711,12.08368682861328,1.057199120521545
21,6,30,59.136,311130807,311130807,-9,0.3058218359947205,58.40713882446289,-9.250908851623535
57,10,33,16.554,311130816,311130816,-5,0.09498085826635361,16.4907341003418,-1.442776203155518
3,1,46,22.62,311130850,311130850,1,0.1815753877162933,22.61582565307617,0.3947734236717224
36,4,48,28.706,311130857,311130857,-11,0.2360656410455704,28.1776008605957,-5.477363109588623
21,6,50,59.28,311130862,311130862,-9,0.5109400749206543,58.54793548583984,-9.273434638977051
25,8,52,64.342,311130866,311130866,-7,0.5795888304710388,63.85977554321289,-7.841317176818848
2,10,53,16.574,311130871,311130871,-5,0.1527279764413834,16.51022529602051,-1.444519281387329
2,13,56,11.394,311130878,311130878,13,0.1085072159767151,11.10144233703613,2.563092231750488
5,2,67,28.82,311130908,311130908,-13,0.3283675014972687,28.07942581176758,-6.483089447021484
10,4,68,28.394,311130913,311130913,-11,0.3307875990867615,27.87035942077637,-5.417830467224121
21,6,70,59.816,311130917,311130917,-9,0.7217751145362854,59.07515716552734,-9.357283592224121
18,10,73,63.406,311130926,311130926,-5,0.804753839969635,63.15959548950195,-5.526196956634521
8,0,85,34.66,311130959,311130959,-15,0.4966525733470917,33.47530364990234,-8.970667839050293
10,2,87,28.412,311130963,311130963,-13,0.4203447997570038,27.68061065673828,-6.391309261322021
7,4,88,27.962,311130968,311130968,-11,0.4215584099292755,27.44502258300781,-5.335401058197021
21,6,90,59.92,311130972,311130972,-9,0.9295949339866638,59.17498397827148,-9.373553276062012
25,8,92,64.47,311130977,311130977,-7,1.027436375617981,63.981201171875,-7.856916427612305
8,0,105,34.56,311131014,311131014,-15,0.6117300987243652,33.37679290771484,-8.944786071777344
2,1,106,11.348,311131016,311131016,1,0.2098996043205261,11.34432983398438,0.1980499029159546
5,2,107,28.064,311131018,311131018,-13,0.510633647441864,27.33995246887207,-6.313026428222656
10,4,108,27.61,311131023,311131023,-11,0.5108441114425659,27.0979118347168,-5.26823616027832
21,6,110,59.752,311131028,311131028,-9,1.132963061332703,59.00547790527344,-9.347271919250488
