"intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle","Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2"
8,0,14,21.142,285630764,285630764,-15,0.04989934340119362,20.42154312133789,-5.471952438354492
10,1,15,12.108,285630766,285630766,1,0.03169380500912666,12.10611438751221,0.2113137394189835
69,2,16,24.7,285630769,285630769,-13,0.06720749288797379,24.06684684753418,-5.556291103363037
16,4,17,12.044,285630773,285630773,-11,0.03507865965366364,11.82266616821289,-2.29810357093811
28,6,19,11.95,285630778,285630778,-9,0.03913974761962891,11.80281066894531,-1.869391798973083
54,8,20,11.912,285630783,285630783,-7,0.04127070307731628,11.8231372833252,-1.451707601547241
1,9,21,9.842000000000001,285630785,285630785,9,0.03562861680984497,9.720763206481934,1.539628028869629
47,10,22,11.92,285630787,285630787,-5,0.04559523612260818,11.87455368041992,-1.038896441459656
0,11,23,10.054,285630790,285630790,11,0.03961772099137306,9.869199752807617,1.918393611907959
22,12,24,12.008,285630792,285630792,-3,0.05022991448640823,11.9914379119873,-0.6284501552581787
4,0,34,21.006,285630819,285630819,-15,0.120403990149498,20.28988075256348,-5.436752796173096
10,1,34,12.128,285630822,285630822,1,0.07195761799812317,12.12593936920166,0.2116627842187881
6,2,35,12.238,285630824,285630824,-13,0.07284119725227356,11.92411804199219,-2.75295090675354
31,4,37,11.972,285630829,285630829,-11,0.07589083909988403,11.75179576873779,-2.284365177154541
28,6,38,11.938,285630833,285630833,-9,0.07820045202970505,11.79076385498047,-1.867514610290527
39,8,40,11.91,285630838,285630838,-7,0.0825270488858223,11.82093620300293,-1.451463937759399
1,9,41,9.582000000000001,285630840,285630840,9,0.06772259622812271,9.463787078857422,1.498955011367798
47,10,42,11.966,285630843,285630843,-5,0.0873807966709137,11.92014503479004,-1.042905569076538
35,12,43,32.066,285630847,285630847,-3,0.2403205633163452,32.02115249633789,-1.678204774856567
2,1,54,12.236,285630877,285630877,1,0.1153023093938828,12.23359298706055,0.2135476469993591
19,2,55,12.042,285630879,285630879,-13,0.1126304790377617,11.73282337188721,-2.708860635757446
