"intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle","Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2"
19,2,32,54.762,416630545,416630545,-13,0.2980082631111145,53.35762023925781,-12.31876945495605
4,3,33,18.828,416630547,416630547,3,0.108292281627655,18.8018856048584,0.9853813648223877
2,5,34,21.198,416630552,416630552,5,0.1253120601177216,21.11696434020996,1.847527384757996
95,6,35,44.544,416630554,416630554,-9,0.2687520980834961,43.99477005004883,-6.968216896057129
20,3,52,18.604,416630602,416630602,3,0.1686108410358429,18.57773780822754,0.9736581444740295
74,4,53,44.416,416630605,416630605,-11,0.4033044874668121,43.59808731079102,-8.474972724914551
6,8,57,40.052,416630614,416630614,-7,0.3954758644104004,39.75149154663086,-4.881111145019531
3,14,62,22.808,416630628,416630628,-1,0.2467638999223709,22.80319023132324,-0.3980544805526733
7,1,71,18.29,416630653,416630653,1,0.2266063988208771,18.28581047058105,0.3192045092582703
18,2,72,53.138,416630655,416630655,-13,0.6506202220916748,51.77198791503906,-11.95344924926758
36,3,72,18.454,416630658,416630658,3,0.2315758913755417,18.42725372314453,0.9658077359199524
10,4,73,44.164,416630660,416630660,-11,0.5523361563682556,43.34906387329102,-8.426888465881348
18,1,91,18.276,416630708,416630708,1,0.290212094783783,18.27091217041016,0.3189601898193359
100,2,92,54.748,416630711,416630711,-13,0.8565223813056946,53.33793640136719,-12.31562042236328
27,3,92,18.17,416630713,416630713,3,0.2913438677787781,18.14275932312012,0.9509443044662476
10,4,93,43.464,416630715,416630715,-11,0.6924964189529419,42.65982437133789,-8.293322563171387
12,5,94,18.936,416630718,416630718,5,0.3094697594642639,18.86140441894531,1.650381088256836
6,8,97,39.704,416630725,416630725,-7,0.6671344041824341,39.40240478515625,-4.838700294494629
59,2,112,54.85,416630766,416630766,-13,1.044643998146057,53.43398666381836,-12.3385648727417
20,3,112,18.036,416630768,416630768,3,0.3520565032958984,18.00784111022949,0.9439312815666199
9,4,113,42.664,416630771,416630771,-11,0.8259158730506897,41.87199783325195,-8.140674591064453
8,5,114,18.53,416630773,416630773,5,0.3672596514225006,18.45583343505859,1.614995956420898
6,8,117,39.852,416630780,416630780,-7,0.8076698780059814,39.54670333862305,-4.85673713684082
27,3,132,17.932,416630824,416630824,3,0.4125209450721741,17.90267181396484,0.9384883642196655
9,4,133,42.056,416630826,416630826,-11,0.958218514919281,41.27219009399414,-8.024662971496582
22,5,134,18.274,416630828,416630828,5,0.4257164299488068,18.19948387145996,1.592684030532837
6,8,137,39.952,416630835,416630835,-7,0.9480817317962646,39.64286804199219,-4.868924140930176
20,3,153,17.888,416630879,416630879,3,0.4769615530967712,17.85711669921875,0.9361855983734131
9,4,153,41.5,416630881,416630881,-11,1.087706804275513,40.72300338745117,-7.918573379516602
42,5,154,18.232,416630883,416630883,5,0.4881174564361572,18.15606117248535,1.589023470878601
12,6,155,40.174,416630886,416630886,-9,1.073299884796143,39.66487121582031,-6.284598350524902
