,X,Y,Z,azimuth,dis,laser_id,reflectivity
0,-22.15613433538471,25.442840372930835,1.7681179457116143,31895,16892,3,151
1,-24.79618502072156,28.474523930481617,3.30337696162174,31895,18951,5,151
2,-17.94765039106566,20.610057560436992,-4.328541647663188,31895,13835,6,151
3,-19.08014282315527,21.91054724591388,-3.5673594201554772,31895,14636,8,151
4,-18.29325432825224,21.006929400668223,-2.4370488787100175,31895,13981,10,151
5,-19.421375864553717,22.30239979883891,-1.5498770081785385,31895,14807,12,151
6,-19.321622618176082,22.18784886292883,-0.5135545118235046,31895,14713,14,151
7,-20.80009464754592,23.894061011667795,0.5529620455588908,31896,15842,1,151
8,-29.008856817464594,33.32385772374423,2.315447376100321,31896,22121,3,151
9,-18.006667540706733,20.68511803071183,-5.330821712829908,31896,13969,4,151
10,-17.999824164309015,20.67725671777342,-4.341995011656648,31896,13878,6,151
11,-19.032003387437477,21.862970232558663,-3.559072304803927,31896,14602,8,151
12,-18.25557511187727,20.971050032108593,-2.4325167800871395,31896,13955,10,151
13,-19.53026104527373,22.435342574012157,-1.5588787926523249,31896,14893,12,151
14,-19.261292038852332,22.12636504489121,-0.5120536048698983,31896,14670,14,151
15,-20.643485706368626,24.042674015722532,0.5531365696232636,31935,15847,1,191
16,-22.26811384385224,25.934815936998874,1.7914597821959675,31935,17115,3,191
17,-17.7324430426482,20.652294561147247,-5.291133441791588,31935,13865,4,191
18,-18.564082416247544,21.620872961253397,2.4931771770395095,31935,14303,5,191
19,-17.961609251117025,20.91919563221662,-4.367024526063085,31935,13958,6,191
20,-5.552836333562371,6.467174959184,1.0466139211634067,31935,4294,7,191
21,-18.847831756327796,21.951344906871633,-3.552491360260049,31935,14575,8,191
22,-17.869697735223113,20.812149823850714,-2.3999205322995154,31935,13768,10,191
23,-5.499423374207519,6.404966939266726,1.6409573602382852,31935,4300,11,191
24,-18.802016544406,21.89798569123989,-1.5126138073335627,31935,14451,12,191
25,-19.069854688933574,22.20992647921766,-0.5109715556707867,31935,14639,14,191
26,-20.648406022811308,24.05689843460661,0.5533809033133856,31936,15854,1,191
27,-24.720841824781118,28.801583053904146,1.989185024881809,31936,19004,3,191
28,-17.673855213075765,20.591329875012683,-5.274723868189205,31936,13822,4,191
29,-18.46817532691249,21.51677071930956,2.480801061569342,31936,14232,5,191
30,-17.700643691004256,20.62254040487302,-4.304450740046993,31936,13758,6,191
31,-5.546535918767916,6.462118727919619,1.0456389664161654,31936,4290,7,191
32,-18.551805104522334,21.614205507440236,-3.4974064170409225,31936,14349,8,191
33,-17.81286134854748,20.753282157389144,-2.3927737613942073,31936,13727,10,191
34,-18.735754830684193,21.8285203496833,-1.50758955553424,31936,14403,12,191
35,-19.093328642261497,22.245119909886014,-0.5117045567411526,31936,14660,14,191
36,-41.634233934474025,49.18034339303014,-17.265818498789162,31975,33355,0,231
37,-20.149537585418013,23.801595082096338,0.5443405567788727,31975,15595,1,231
38,-24.605524546566556,29.065219465075362,1.99577935536842,31975,19067,3,231
39,-17.5611932512217,20.744119270831913,-5.283119463985773,31975,13844,4,231
40,-18.614799979451107,21.98868980327118,2.5205440802622743,31975,14460,5,231
41,-17.773010027433152,20.99432735216419,-4.35669985137043,31975,13925,6,231
42,-18.305491826374315,21.623320256505366,-3.4786385381565297,31975,14272,8,231
43,-17.537304295993252,20.71590049723121,-2.3746453669026946,31975,13623,10,231
44,-18.905292334070943,22.331833231242936,-0.5107272219806647,31975,14632,14,231
