"intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle","Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2"
51,2,41,119.786,262230495,262230495,-13,0.8351942896842957,116.7129058837891,-26.94598770141602
5,0,219,25.686,262230988,262230988,-15,0.9481040239334106,24.79264831542969,-6.648025989532471
18,0,239,28.996,262231043,262231043,-15,1.16796863079071,27.98362159729004,-7.504716873168945
20,0,279,25.39,262231154,262231154,-15,1.193758249282837,24.49578666687012,-6.571415424346924
4,0,319,21.33,262231264,262231264,-15,1.146511197090149,20.57127380371094,-5.520610332489014
4,0,339,21.49,262231319,262231319,-15,1.227450132369995,20.7214241027832,-5.562021255493164
17,0,379,22.31,262231430,262231430,-15,1.424436688423157,21.50267601013184,-5.774252891540527
4,0,399,21.838,262231485,262231485,-15,1.467762589454651,21.04276084899902,-5.652090072631836
25,0,419,22.054,262231541,262231541,-15,1.556450724601746,21.24559211730957,-5.707995414733887
4,0,440,22.142,262231596,262231596,-15,1.640830516815186,21.32449531555176,-5.730771064758301
50,2,442,79.586,262231601,262231601,-13,5.976258754730225,77.31558990478516,-17.9029541015625
4,0,460,22.134,262231651,262231651,-15,1.714637160301208,21.31093597412109,-5.728700637817383
4,0,480,22.09,262231707,262231707,-15,1.785459399223328,21.2624683380127,-5.717312812805176
51,2,482,79.786,262231711,262231711,-13,6.532248020172119,77.46616363525391,-17.94794464111328
63,4,483,96.306,262231716,262231716,-11,7.95994234085083,94.20088195800781,-18.37605094909668
63,4,503,96.354,262231771,262231771,-11,8.292847633361816,94.21945953369141,-18.38521003723145
28,0,520,24.232,262231817,262231817,-15,2.121374607086182,23.30998420715332,-6.271703243255615
51,2,522,79.934,262231822,262231822,-13,7.086019992828369,77.56228637695313,-17.98123741149902
63,4,523,96.462,262231826,262231826,-11,8.63134765625,94.29550933837891,-18.40581703186035
3,0,540,18.094,262231872,262231872,-15,1.644774436950684,17.3998966217041,-4.683071613311768
51,2,542,79.986,262231877,262231877,-13,7.361505508422852,77.58751678466797,-17.99293518066406
63,4,543,96.562,262231882,262231882,-11,8.96973705291748,94.36252593994141,-18.42489814758301
22,0,560,18.43,262231928,262231928,-15,1.73717200756073,17.71705055236816,-4.770034790039063
51,2,562,79.986,262231932,262231932,-13,7.632291793823242,77.56134796142578,-17.99293518066406
63,4,563,96.66200000000001,262231937,262231937,-11,9.308699607849121,94.42832946777344,-18.44397926330566
3,0,580,17.094,262231983,262231983,-15,1.668594717979431,16.42700958251953,-4.424252986907959
51,2,582,80.18600000000001,262231988,262231988,-13,7.922745704650879,77.72810363769531,-18.03792572021484
63,4,583,96.72200000000001,262231992,262231992,-11,9.644241333007813,94.453857421875,-18.4554271697998
7,0,600,20.654,262232038,262232038,-15,2.085367202758789,19.8409423828125,-5.345648765563965
51,2,602,80.18600000000001,262232043,262232043,-13,8.194019317626953,77.69997406005859,-18.03792572021484
63,4,603,96.83,262232048,262232048,-11,9.985025405883789,94.52504730224609,-18.47603416442871
23,0,620,23.392,262232094,262232094,-15,2.44023871421814,22.46277809143066,-6.054295063018799
51,2,622,80.386,262232098,262232098,-13,8.486307144165039,77.8646240234375,-18.08291625976563
63,4,623,96.914,262232103,262232103,-11,10.32386684417725,94.57158660888672,-18.49206352233887
9,0,640,23.026,262232149,262232149,-15,2.479226112365723,22.10279846191406,-5.959567546844482
51,2,642,80.386,262232154,262232154,-13,8.758053779602051,77.83452606201172,-18.08291625976563
63,4,643,97.04600000000001,262232158,262232158,-11,10.66843128204346,94.66373443603516,-18.51725006103516
13,0,660,23.728,262232204,262232204,-15,2.634300708770752,22.7675952911377,-6.141258239746094
51,2,662,80.386,262232209,262232209,-13,9.029693603515625,77.80348205566406,-18.08291625976563
63,4,663,97.122,262232213,262232213,-11,11.00741767883301,94.70001983642578,-18.53175163269043
3,0,681,20.84,262232260,262232260,-15,2.386947870254517,19.98787498474121,-5.393788814544678
63,4,684,97.194,262232269,262232269,-11,11.36285400390625,94.72921752929688,-18.54549026489258
11,0,701,20.626,262232315,262232315,-15,2.431476831436157,19.77425765991211,-5.338401794433594
63,4,704,97.31,262232324,262232324,-11,11.70740795135498,94.80198669433594,-18.56762313842773
22,0,721,20.37,262232370,262232370,-15,2.469452381134033,19.52032852172852,-5.272143840789795
63,4,724,97.414,262232379,262232379,-11,12.05112266540527,94.86181640625,-18.58746719360352
3,0,741,20.892,262232425,262232425,-15,2.602603673934937,20.0115909576416,-5.407247543334961
