reflectivity,laser_id,azimuth,distance_m,adjustedtime,timestamp,vertical_angle,X,Y,Z
100,0,6,1448,260550382,260550382,-15,0.001464673667214811,1.398659825325012,-0.3747699856758118
100,1,7,1426,260550384,260550384,1,0.001741921878419816,1.425781726837158,0.02488713152706623
100,2,8,1456,260550387,260550387,-13,0.001980854198336601,1.418681383132935,-0.3275287449359894
100,3,9,1444,260550389,260550389,3,0.002265120390802622,1.44201922416687,0.07557312399148941
99,4,9,1426,260550391,260550391,-11,0.002198800444602966,1.399798631668091,-0.2720936238765717
100,5,10,1.43,260550394,260550394,5,0.002486322307959199,1.424556255340576,0.1246327087283134
100,6,11,1422,260550396,260550396,-9,0.002696431009098887,1.404490232467651,-0.2224498093128204
100,7,12,1.45,260550398,260550398,7,0.003014234360307455,1.439188718795776,0.1767105460166931
100,8,13,1438,260550401,260550401,-7,0.00323839602060616,1.427277684211731,-0.1752481162548065
99,9,13,1468,260550403,260550403,9,0.003289775922894478,1.449922800064087,0.2296457886695862
100,10,14,1422,260550405,260550405,-5,0.003461376065388322,1.416584610939026,-0.1239354684948921
100,11,15,1478,260550408,260550408,11,0.003798299003392458,1.450839996337891,0.2820156812667847
100,12,16,1426,260550410,260550410,-3,0.003976680804044008,1.424040198326111,-0.07463107258081436
94,13,17,1496,260550412,260550412,13,0.004324950743466616,1.457651257514954,0.3365267813205719
100,14,18,1426,260550414,260550414,-1,0.004479221533983946,1.425775766372681,-0.02488713152706623
98,15,19,1504,260550417,260550417,15,0.004817500710487366,1.452744483947754,0.3892638385295868
100,0,26,1448,260550437,260550437,-15,0.00634689861908555,1.398646235466003,-0.3747699856758118
100,1,27,1418,260550440,260550440,1,0.006681125145405531,1.417768239974976,0.02474751323461533
100,2,28,1432,260550442,260550442,-13,0.006818684749305248,1.395281314849854,-0.3221299052238464
100,3,28,1436,260550444,260550444,3,0.007007974665611982,1.434014916419983,0.07515443116426468
99,4,29,1.43,260550447,260550447,-11,0.007104869931936264,1.403708934783936,-0.2728568613529205
100,5,30,1438,260550449,260550449,5,0.007500664796680212,1.43250834941864,0.1253299564123154
100,6,31,1424,260550451,260550451,-9,0.007609688211232424,1.406447649002075,-0.2227626740932465
100,7,32,1436,260550454,260550454,7,0.007960314862430096,1.425274014472961,0.1750043779611588
100,8,33,1432,260550456,260550456,-7,0.008186205290257931,1.421302556991577,-0.1745169013738632
100,9,34,1.47,260550458,260550458,9,0.008615708909928799,1.451876282691956,0.2299586683511734
100,10,34,1424,260550461,260550461,-5,0.008417980745434761,1.418556332588196,-0.1241097748279572
100,11,35,1456,260550463,260550463,11,0.008730731904506683,1.429222464561462,0.2778179049491882
100,12,36,1416,260550465,260550465,-3,0.008884739130735397,1.414031505584717,-0.07410771399736404
86,13,37,1.48,260550467,260550467,13,0.009312402456998825,1.442037582397461,0.3329275548458099
100,14,38,1426,260550470,260550470,-1,0.009456080384552479,1.425751447677612,-0.02488713152706623
99,15,39,1508,260550472,260550472,15,0.009914794936776161,1.456582427024841,0.3902991116046906
100,0,46,1448,260550493,260550493,-15,0.01122904662042856,1.398615479469299,-0.3747699856758118
100,1,47,1418,260550495,260550495,1,0.01163001917302608,1.417736291885376,0.02474751323461533
100,2,48,1428,260550497,260550497,-13,0.01165643241256475,1.391351580619812,-0.3212301135063171
100,3,48,1426,260550500,260550500,3,0.01192991808056831,1.423995733261108,0.07463107258081436
99,4,49,1426,260550502,260550502,-11,0.01197110582143068,1.399749159812927,-0.2720936238765717
100,5,50,1432,260550504,260550504,5,0.01244884636253119,1.426496505737305,0.1248070225119591
100,6,51,1.42,260550507,260550507,-9,0.01248389389365911,1.402461886405945,-0.2221369445323944
100,7,52,1.43,260550509,260550509,7,0.01288135349750519,1.419282555580139,0.1742731630802155
100,8,53,1418,260550511,260550511,-7,0.0130188912153244,1.407370209693909,-0.1728107333183289
98,9,53,1.47,260550514,260550514,9,0.01343025639653206,1.451839685440063,0.2299586683511734
100,10,54,1418,260550516,260550516,-5,0.01331328228116035,1.412541389465332,-0.1235868409276009
100,11,55,1462,260550518,260550518,11,0.0137761328369379,1.435072779655457,0.2789627611637115
100,12,56,1408,260550520,260550520,-3,0.01374249346554279,1.40600323677063,-0.07368902862071991
89,13,57,1.47,260550523,260550523,13,0.01424906402826309,1.432253122329712,0.3306780457496643
100,14,58,1426,260550525,260550525,-1,0.01443282421678305,1.42570972442627,-0.02488713152706623
100,15,59,1.5,260550527,260550527,15,0.0149195846170187,1.448811888694763,0.388228565454483
100,0,66,1448,260550548,260550548,-15,0.01611105725169182,1.398567795753479,-0.3747699856758118
100,1,67,1422,260550550,260550550,1,0.0166255384683609,1.421686172485352,0.0248173214495182
100,2,68,1432,260550553,260550553,-13,0.01655934005975723,1.395199656486511,-0.3221299052238464
100,3,68,1422,260550555,260550555,3,0.01685311086475849,1.419951200485229,0.074421726167202
100,4,69,1416,260550557,260550557,-11,0.01673885621130466,1.389883279800415,-0.2701855301856995
100,5,70,1426,260550560,260550560,5,0.01735514961183071,1.420467615127563,0.1242840886116028
100,6,71,1424,260550562,260550562,-9,0.01742827892303467,1.406360268592834,-0.2227626740932465
